kolon,aykiri_sayisi,aykiri_yuzdesi,min,max,ortalama,medyan,std
AL_157,138,9.29,2.18461e-16,7.54672e+16,7341973431665037.0,1887025000000000.0,1.1680561385761326e+16
AL_85,111,9.27,8.3460799999999995e-22,7.78021e+16,6254099350299799.0,587714000000000.0,1.076791338528463e+16
AL_298,151,9.25,4.27624e-22,7.03131e+16,7116126483790712.0,1802745000000000.0,1.1253639059163534e+16
AL_275,96,9.23,7.94954e-14,7.23716e+16,6767003045428265.0,946897500000000.0,1.1174589140107888e+16
AL_12,165,9.23,1.00668e-16,6.61776e+16,6225286721945448.0,648031000000000.0,1.0536119564155358e+16
AL_201,96,9.22,0.0,4.59302e+16,1008942409221906.1,10.0,4417772307181602.5
AL_15,164,9.18,4.7877899999999994e-20,7.79655e+16,6247051066038897.0,493471000000000.0,1.0788551742864114e+16
AL_148,136,9.15,4.77434e-11,7.78976e+16,7352590999375534.0,2070775000000000.0,1.1495824978821446e+16
AL_142,134,9.02,1.41628e-26,7.67222e+16,7186158441347266.0,1155010000000000.0,1.1626503403127252e+16
AL_25,95,9.0,6.093309999999999e-39,6.74565e+16,6703704258823767.0,938227000000000.0,1.0620933179720176e+16
AL_199,93,8.93,8.97324e-16,7.13906e+16,6988304312158325.0,1805170000000000.0,1.1206616751186534e+16
AL_18,94,8.9,9.91124e-18,6.89693e+16,6716547688228336.0,1106685000000000.0,1.0706905121251624e+16
AL_7,159,8.9,1.08655e-05,7.69525e+16,7383028231326425.0,1646530000000000.0,1.1710260333016686e+16
AL_100,132,8.88,3.13384e-16,7.62495e+16,7782992946905920.0,2693285000000000.0,1.187526491103922e+16
AL_40,134,8.85,3.37046e-16,7.27642e+16,7388877352043094.0,2376710000000000.0,1.1293381972708048e+16
AL_6,26,8.84,6.57309e-11,6.86022e+16,7532068401897808.0,3276245000000000.0,1.101914906744941e+16
AL_203,92,8.84,5.44499e-16,6.19715e+16,6919127620153071.0,1556690000000000.0,1.1279139306121676e+16
AL_169,131,8.82,3.48908e-19,7.58286e+16,6920054275765874.0,1626475000000000.0,1.0915989630152542e+16
AL_172,131,8.82,5.7140300000000006e-18,7.24239e+16,6950800701761404.0,1095955000000000.0,1.1119942288188336e+16
AL_139,131,8.82,1.54884e-10,7.78445e+16,7324877545853361.0,1822125000000000.0,1.15839361761154e+16
AL_315,143,8.76,3.4459299999999994e-20,7.13078e+16,6857640467793225.0,855613500000000.0,1.1116338903105356e+16
AL_239,91,8.74,4.58072e-21,7.52819e+16,7060522009646573.0,1365980000000000.0,1.146622546029508e+16
AL_260,90,8.65,0.034479614,7.527e+16,7273807232660919.0,1920040000000000.0,1.1455062757164974e+16
AL_323,141,8.64,6.28782e-19,7.06322e+16,7087598073973912.0,1791575000000000.0,1.0949426769478634e+16
AL_175,128,8.61,8.637170000000001e-26,7.77017e+16,6732765147929425.0,1836245000000000.0,1.0943663741589132e+16
AL_178,127,8.55,4.28842e-13,7.71669e+16,7070232636035683.0,1665135000000000.0,1.1191775836144038e+16
AL_262,89,8.55,2.8926e-16,6.36071e+16,7948289633995235.0,2815520000000000.0,1.1905193718102894e+16
AL_166,126,8.48,1.47979e-12,7.29447e+16,7180004336047905.0,1509855000000000.0,1.1455801340096388e+16
AL_194,88,8.45,1.02782e-28,6.5482e+16,6932823697756152.0,1923620000000000.0,1.0671501727145082e+16
AL_61,128,8.45,6.01258e-20,7.36748e+16,6886766311529249.0,969845500000000.0,1.106688302573841e+16
AL_266,88,8.45,3.74663e-17,7.37673e+16,6758855407583104.0,1300320000000000.0,1.0794527297200292e+16
AL_118,125,8.41,7.81515e-20,7.42892e+16,6645069415219842.0,1111120000000000.0,1.0846449835364012e+16
AL_121,125,8.41,0.000587608,7.1352e+16,6831281487215721.0,1794955000000000.0,1.0600137071329758e+16
AL_163,125,8.41,1.61062e-22,7.75796e+16,6790589495665807.0,1465735000000000.0,1.0975645827209042e+16
AL_52,126,8.32,2.86861e-15,7.39879e+16,6510609584254944.0,649701500000000.0,1.084920805880323e+16
AL_145,123,8.28,4.34174e-11,6.76522e+16,7364426098149840.0,1783270000000000.0,1.139813699564424e+16
AL_127,123,8.28,7.616710000000001e-19,6.24971e+16,6843564816742623.0,1586635000000000.0,1.0522537736071048e+16
AL_306,135,8.27,2.5836e-24,7.31066e+16,6894498477193734.0,958847000000000.0,1.1132108506493852e+16
AL_76,99,8.27,9.77979e-15,5.95351e+16,7128399500104322.0,1919010000000000.0,1.0795348162724834e+16
AL_247,86,8.26,4.1505400000000003e-19,7.06373e+16,7435428828008324.0,2327430000000000.0,1.127427609028625e+16
AL_14,147,8.23,1.64986e-12,6.47449e+16,7167896918656509.0,2284750000000000.0,1.1047344494158864e+16
AL_103,122,8.21,0.0054747,7.74864e+16,7307319418834856.0,1880555000000000.0,1.1705674004991728e+16
AL_73,124,8.19,1.53975e-11,7.69793e+16,7878059078356822.0,2635265000000000.0,1.1857685508033366e+16
AL_55,124,8.19,4.27597e-09,7.62803e+16,7437197296382266.0,2092765000000000.0,1.1243218263007498e+16
AL_271,85,8.17,6.01453e-11,7.02899e+16,7582342088601465.0,1936770000000000.0,1.171739307599638e+16
AL_11,146,8.17,1.4752e-20,7.13626e+16,7072735866358966.0,1232610000000000.0,1.1226605949756158e+16
AL_151,119,8.01,9.197340000000001e-24,7.31518e+16,7635983613931749.0,2233410000000000.0,1.1643624930219106e+16
AL_296,130,7.97,0.0557559,7.12233e+16,7006502104464739.0,1663570000000000.0,1.0865904698508232e+16
AL_21,84,7.96,1.57157e-17,7.60306e+16,7105681569854046.0,1962080000000000.0,1.096950824025788e+16
AL_20,84,7.96,5.5494400000000004e-18,5.97974e+16,6296999073858558.0,798245000000000.0,1.0134801909066702e+16
AL_19,84,7.95,1.05628e-10,7.5888e+16,7582314389898905.0,2650425000000000.0,1.1378638735008238e+16
AL_124,118,7.94,1.4727e-20,7.12643e+16,6866448254740089.0,1762375000000000.0,1.0474986389432094e+16
AL_43,120,7.93,3.44896e-18,7.45017e+16,7525655789835095.0,1941610000000000.0,1.1705118052909466e+16
AL_160,117,7.87,2.69177e-11,7.78616e+16,7133000689220303.0,1574565000000000.0,1.1268240886386762e+16
AL_88,94,7.85,3.62903e-10,7.12473e+16,6829733766325983.0,1886240000000000.0,1.0747030326690012e+16
AL_8,140,7.83,1.1742200000000001e-23,7.78038e+16,6639797168492757.0,1663460000000000.0,1.0739711027094206e+16
AL_64,117,7.73,1.36819e-22,7.63108e+16,7871079833411585.0,2921750000000000.0,1.1850985509661654e+16
AL_301,126,7.72,0.0,5.49943e+16,790896831924023.9,10.0,4230731971817704.5
AL_112,113,7.6,0.0001026,7.80952e+16,7566250719489601.0,1991285000000000.0,1.14927344940699e+16
AL_190,79,7.59,4.39022e-14,6.43324e+16,7057714292280724.0,2268450000000000.0,1.0422409320322328e+16
AL_283,79,7.59,1.18083e-17,7.48403e+16,7282927412598489.0,2331310000000000.0,1.142995226330606e+16
AL_97,90,7.52,1.14325e-18,7.58817e+16,7234983956573430.0,1382110000000000.0,1.1632460242272008e+16
AL_5,22,7.48,7.12733e-11,5.69424e+16,7549281815106819.0,4252775000000000.0,1.0860665178092906e+16
AL_133,111,7.47,0.001044,7.677e+16,6981618220739933.0,1509440000000000.0,1.08150418009346e+16
AL_16,78,7.39,0.031095412,7.62626e+16,8099783618654910.0,3465970000000000.0,1.1420968303341018e+16
AL_82,87,7.27,7.528640000000001e-23,6.45673e+16,7240031718537501.0,1515790000000000.0,1.1181701058197144e+16
AL_230,75,7.2,2.80008e-12,7.80285e+16,7389176087831878.0,2266920000000000.0,1.1626341662475676e+16
AL_224,75,7.2,0.005475384,7.73011e+16,7999347221386914.0,3116000000000000.0,1.176704129807809e+16
AL_79,86,7.18,0.018342,6.84308e+16,7500092667044923.0,2597140000000000.0,1.1190780588955832e+16
AL_211,74,7.11,6.768840000000001e-24,7.57091e+16,6968106206971104.0,1427780000000000.0,1.1036371378937888e+16
AL_3,20,6.8,4.28644e-07,6.72608e+16,9075180472576924.0,4701790000000000.0,1.237902271971264e+16
AL_34,17,6.75,8.55346e-13,6.06652e+16,6614380968222690.0,2041900000000000.0,9961611896073950.0
AL_327,110,6.74,0.7627302,7.62594e+16,8475917556418194.0,3446830000000000.0,1.2262409140944822e+16
AL_23,71,6.72,8.41033e-38,7.0196e+16,8304663001201450.0,3272865000000000.0,1.1875998855406696e+16
AL_91,79,6.6,3.63977e-16,5.94577e+16,7540202086837329.0,2857110000000000.0,1.0976463761470318e+16
AL_215,49,6.52,21.04578,7.75334e+16,1.0069526541237246e+16,6485790000000000.0,1.1497288879954404e+16
AL_4,19,6.46,3.06609e-15,6.42165e+16,7108730023428300.0,4022525000000000.0,9852745481001096.0
AL_226,67,6.44,9.702420000000001e-18,7.47203e+16,7167107929687097.0,3137540000000000.0,1.047727269150469e+16
AL_30,16,6.35,3.28664e-11,4.95831e+16,8446458827808622.0,4042650000000000.0,1.130337655719389e+16
AL_36,16,6.35,0.0,5.40374e+16,8641406639754861.0,5293895000000000.0,1.035356456340975e+16
AL_38,16,6.35,1.90233e-13,6.44173e+16,8269631384572485.0,3453055000000000.0,1.1741541836021296e+16
AL_94,76,6.35,0.10512,7.55353e+16,8863355083213647.0,4588460000000000.0,1.1883973160708502e+16
AL_188,66,6.34,5.71747e-26,7.61776e+16,8399710074501444.0,2879340000000000.0,1.2486279109797458e+16
AL_251,62,6.26,8.791299,7.42871e+16,8291450455278369.0,4206350000000000.0,1.1295270199129588e+16
EK_8,159,6.18,-6.06369e+16,4.9795e+16,4142824445998887.5,6080890000000000.0,7534884015640852.0
AL_17,65,6.16,3.75644e-26,7.6098e+16,8589386404353174.0,3775525000000000.0,1.2195598468380838e+16
AL_2,18,6.12,9.48867e-19,5.80606e+16,8329117628218406.0,5731165000000000.0,1.0742800734156688e+16
AL_32,15,5.95,0.006721123,7.16568e+16,9165506573614608.0,4540840000000000.0,1.225505473542822e+16
AL_287,58,5.92,10.05201,7.5962e+16,9052034270596890.0,4677440000000000.0,1.193185365345947e+16
AL_26,105,5.69,4.14337e-21,7.59277e+16,8812586035859220.0,4487910000000000.0,1.2010807207935458e+16
AL_186,111,5.52,4.3886e-06,7.52e+16,9147053030397114.0,4717075000000000.0,1.2060752530458256e+16
AL_184,54,5.48,340.020396,7.19468e+16,7185288492666915.0,2549770000000000.0,1.073113941259862e+16
AL_45,81,5.35,0.0,4.81434e+16,519030370475565.94,10.0,3200050345637826.5
AL_31,12,4.76,0.0,4.26636e+16,655862261904766.8,10.0,3795560587437644.5
AL_1,14,4.76,0.0,7.03002e+16,1.2488515707787484e+16,7639200000000000.0,1.2764735484598222e+16
AL_129,67,4.51,0.0,4.57712e+16,568475951547783.9,10.0,3615020578979810.0
AL_33,11,4.37,0.0,3.16241e+16,501040873015877.8,10.0,3119207151428889.5
AL_28,11,4.37,74241754379.0,7.17178e+16,1.3622930182903788e+16,1.074745e+16,1.18953241144641e+16
AL_37,10,3.97,0.0,2.76929e+16,440447726190481.56,10.0,2765589326769067.5
AL_273,41,3.94,0.0,4.66078e+16,371062391594624.94,0.0,2688244360963435.5
EK_5,98,3.81,0.0,6.19048e+16,7225009400283829.0,8537455000000000.0,7865091705277255.0
AL_198,38,3.65,0.0,4.29144e+16,394010080691647.44,10.0,2727813832662005.0
AL_35,8,3.17,0.0,4.36271e+16,511603857142862.4,10.0,3730837802637410.5
AL_66,48,3.17,0.0,5.43579e+16,332183137318366.7,10.0,2756352585847091.5
AL_205,33,3.17,0.0,4.79956e+16,395397858789630.1,10.0,3065870626582601.5
AL_105,45,3.03,0.0,4.93039e+16,425645500000004.8,10.0,3452812783972759.0
AL_192,24,2.31,0.0,4.60311e+16,342758437079735.6,0.0,3048662435147111.5
AL_237,23,2.21,0.0,4.74256e+16,266086585014414.12,10.0,2554033907000634.5
EK_3,35,2.19,-7.38294e+16,7.01042e+16,1.110638377145534e+16,4614620000000000.0,1.7121758656525544e+16
AL_209,21,2.02,0.0,4.48656e+16,235123405379447.72,10.0,2491001845820011.5
AL_57,27,1.78,0.0,3.84684e+16,173560107001325.97,10.0,1797578047470929.2
AL_96,21,1.75,0.0,4.00341e+16,251557790643279.62,0.0,2616273679519896.0
AL_277,17,1.63,0.0,4.54385e+16,177652469740638.84,10.0,2161021657129622.2
AL_123,24,1.62,0.0,4.45341e+16,229302310901754.78,10.0,2310417769854999.0
AL_27,4,1.59,0.0,8762160000000000.0,90095000000005.72,10.0,817171321583622.4
AL_202,16,1.54,0.0,4.66394e+16,181652363112396.88,10.0,2338130108015884.5
AL_189,15,1.44,0.0,2.45985e+16,112140186359275.02,10.0,1101195908246819.2
AL_241,15,1.44,0.0,4.44457e+16,192218902017296.12,10.0,2199093420080307.0
AL_228,14,1.34,0.0,4.56447e+16,248778126801157.78,10.0,2670343470839048.5
AL_196,14,1.34,0.0,4.61509e+16,153280572526421.88,10.0,1929573720248781.8
AL_29,3,1.19,0.0,4.57972e+16,198999996031751.84,10.0,2893541611489986.5
AL_245,12,1.15,0.0,4.3771e+16,115739983669553.58,10.0,1591156423852816.8
EK_4,29,1.13,0.0,6.2426e+16,5064271618794716.0,996261500000000.0,6139057247762762.0
AL_281,11,1.06,0.0,3.24583e+16,126933023054759.95,10.0,1529000132098422.8
AL_69,16,1.06,0.0,4.28757e+16,119638770805817.39,10.0,1598672350406050.0
EK_6,27,1.05,0.0,5.45614e+16,4913972298409802.0,975839000000000.0,5880237640456262.0
AL_257,10,0.96,0.0,2.23031e+16,82869077809803.1,0.0,982957715546903.0
AL_268,10,0.96,0.0,2.57123e+16,114320326609034.97,10.0,1412388599044556.8
AL_270,9,0.86,0.0,3.26013e+16,117264514889534.53,10.0,1483291929055222.8
AL_221,9,0.86,0.0,3.43013e+16,106700739673396.11,10.0,1411120898432317.8
AL_48,13,0.86,0.0,4.77051e+16,109953738441220.3,10.0,1637672065720545.8
AL_150,12,0.81,0.0,2.97914e+16,84298317631229.97,10.0,1221596396657778.5
AL_238,8,0.77,0.0,4.08443e+16,141538166186364.16,0.0,2007545658068611.2
AL_264,8,0.77,0.0,4.73869e+16,159473717579255.53,0.0,2149652896452013.2
AL_174,11,0.74,0.0,4.26082e+16,89998236877528.77,10.0,1430317696232817.2
AL_168,10,0.67,0.0,3.96603e+16,66706076716021.24,10.0,1158307181510241.5
AL_313,11,0.67,0.0,3.00198e+16,54874852022063.8,10.0,934332142338302.0
AL_293,7,0.67,0.0,4.10109e+16,64372616042272.164,10.0,1332084800153169.5
AL_317,11,0.67,0.0,4.59667e+16,123241368872553.98,10.0,2037526101172856.5
AL_217,5,0.66,0.0,4.90253e+16,149011236702132.7,10.0,2337553629791282.0
AL_234,6,0.58,0.0,3.34616e+16,57848979827094.6,10.0,1120146550524700.2
AL_254,6,0.58,0.0,4.14168e+16,110826878001926.28,10.0,1735372080559646.5
AL_261,6,0.58,0.0,4.88527e+16,86013957732954.1,10.0,1627885536630231.8
AL_232,6,0.58,0.0,4.57655e+16,97478416906825.22,0.0,1816128743432890.5
AL_310,9,0.55,0.0,3.3279e+16,61010523897063.875,10.0,1214864251445193.5
AL_51,8,0.53,0.0,4.03558e+16,64825799207402.6,10.0,1203349104185703.5
AL_84,6,0.5,0.0,4.41476e+16,64673860484549.9,10.0,1362479359715135.5
AL_321,8,0.49,0.0,2.60166e+16,36800903799024.375,0.0,735661153466427.0
AL_265,5,0.48,0.0,8825870000000000.0,28413216138333.965,10.0,456362706878126.5
AL_206,5,0.48,0.0,2.48988e+16,62488826128727.72,10.0,1132393217880323.8
AL_126,7,0.47,0.0,4.6239e+16,54983560094218.05,10.0,1278815332279466.5
AL_333,7,0.43,0.0,4.14714e+16,72869878063730.55,10.0,1449839409213925.0
AL_289,4,0.41,0.0,1.59957e+16,25181402451486.047,0.0,547668561268365.94
AL_250,4,0.4,0.0,4.96102e+16,86481584258330.47,10.0,1794878198728346.8
AL_60,6,0.4,0.0,3.99262e+16,63058328269489.9,10.0,1312245270934041.8
AL_249,4,0.38,0.0,1.20612e+16,18822776176758.25,10.0,397230363579493.7
AL_242,4,0.38,0.0,6.13892e+16,78030422670514.1,10.0,1936172701731784.8
AL_193,4,0.38,0.0,7378300000000000.0,16804931796355.072,10.0,312335290305140.06
AL_274,4,0.38,0.0,6466990000000000.0,10631753122003.611,10.0,222457835070269.8
AL_147,5,0.34,0.0,1.69597e+16,27834360699870.652,10.0,542386732114612.0
AL_108,5,0.34,0.0,2.11983e+16,33667288021539.5,10.0,680951728511011.9
AL_141,5,0.34,0.0,5.90568e+16,52279321668914.99,10.0,1556316072246589.0
AL_98,4,0.33,0.0,2.61018e+16,47136503759404.14,10.0,1000857158794205.5
AL_308,5,0.31,0.0,7983990000000000.0,20032530637260.07,10.0,364716874186202.94
AL_300,5,0.31,0.0,1.44942e+16,25537949142161.883,10.0,522690195725788.25
AL_297,5,0.31,0.0,1.29443e+16,23683425245103.402,10.0,478377767977620.2
AL_222,3,0.29,0.0,9693860000000000.0,24564582132570.035,10.0,462201852657725.2
AL_229,3,0.29,0.0,4.74416e+16,74027233429399.92,10.0,1629009468656204.2
AL_278,3,0.29,0.0,9428020000000000.0,16732293948132.172,10.0,367543698692395.5
AL_290,3,0.29,0.0,8767650000000000.0,21093390970226.05,10.0,396765875325266.2
AL_225,3,0.29,0.0,9775410000000000.0,20377877041311.527,10.0,397830160223275.4
AL_156,4,0.27,0.0,1.48402e+16,18385489905792.523,10.0,477104319208929.7
AL_214,2,0.27,0.0,9471390000000000.0,14878750000005.465,10.0,350936200212716.94
AL_63,4,0.26,0.0,1.33504e+16,20200759577284.055,10.0,447031095888595.8
AL_330,4,0.25,0.0,1.37684e+16,24711715686279.676,10.0,511210653349932.1
AL_162,3,0.2,0.0,4.56014e+16,50594831763127.55,10.0,1319121614722751.2
AL_114,3,0.2,0.0,2.65922e+16,24585269851956.7,10.0,728712950942385.6
AL_159,3,0.2,0.0,2.78385e+16,27886009421270.19,10.0,767123951005893.6
AL_286,2,0.2,0.0,2.20613e+16,31280316649648.04,10.0,756061475167675.2
AL_218,2,0.19,0.0,7519920000000000.0,10812084534106.764,0.0,260142645961892.0
AL_187,2,0.19,0.0,5281120000000000.0,5992004803079.251,10.0,166317159824306.66
AL_213,2,0.19,0.0,7108160000000000.0,12436762728150.893,0.0,284964780115945.44
AL_314,3,0.18,0.0,3.64106e+16,31451035539220.863,10.0,940026936245860.8
AL_90,2,0.17,0.0,3.84947e+16,39565346700088.99,10.0,1141552038591990.2
AL_81,2,0.17,0.0,7709360000000000.0,11776390977448.79,10.0,289246716736451.06
AL_180,2,0.13,0.0,5836550000000000.0,5976581426653.978,10.0,170722627958312.25
AL_165,2,0.13,0.0,4734730000000000.0,3644828398390.141,10.0,124078689064861.84
AL_171,2,0.13,0.0,3.75305e+16,30306951547784.438,10.0,992737264090147.8
AL_39,2,0.13,0.0,8947610000000000.0,8084550858657.715,10.0,244976855926607.28
AL_117,2,0.13,0.0,7476170000000000.0,6881480484527.295,10.0,206597664856446.47
AL_329,2,0.12,0.0,7126410000000000.0,5351868872554.081,10.0,180815179109280.5
AL_223,1,0.1,0.0,1.62843e+16,15642939481273.074,10.0,504712115363612.5
AL_210,1,0.1,0.0,2.23069e+16,21428338136412.56,10.0,691375293147667.9
AL_285,1,0.1,0.0,5681900000000000.0,5458117195009.923,10.0,176103594768243.53
AL_294,1,0.1,0.0,2.59078e+16,24887415946210.64,10.0,802980818482673.5
AL_87,1,0.08,0.0,2830130000000000.0,2364352548042.1387,10.0,81801131268309.77
AL_75,1,0.08,0.0,6143240000000000.0,5132197159570.635,10.0,177562154972644.97
AL_132,1,0.07,0.0,2.77064e+16,18644952893679.57,10.0,718738146234981.4
AL_318,1,0.06,0.0,1.49544e+16,9163235294122.635,0.0,370176560417259.25
AL_65,0,0.0,0.0,3466900000000000.0,2289894319692.0874,10.0,89100138141917.66
AL_59,0,0.0,0.0,10.0,9.484808454425364,10.0,2.211271760483625
AL_62,0,0.0,0.0,3.78012e+16,27594498018503.785,10.0,976793982804327.8
AL_143,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_68,0,0.0,0.0,2.34205e+16,23827014531051.742,10.0,651584806831714.6
AL_146,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_144,0,0.0,0.0,10.0,5.370121130551817,10.0,4.9879608174714685
AL_155,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_153,0,0.0,0.0,10.0,5.1278600269179,10.0,5.000047581920774
AL_152,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_149,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_161,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_158,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_164,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_167,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_71,0,0.0,0.0,4.98621e+16,66112077278740.79,10.0,1666717845336767.8
AL_140,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_72,0,0.0,0.0,10.0,5.231175693527081,10.0,4.996303227390236
AL_107,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_102,0,0.0,0.0,10.0,5.329744279946164,10.0,4.99079457671359
AL_104,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_99,0,0.0,0.0,10.0,5.020188425302826,10.0,5.001642447222633
AL_101,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_332,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_334,0,0.0,0.0,10.0,5.018382352941177,10.0,5.001498765524191
AL_320,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_322,0,0.0,0.0,10.0,5.104166666666667,10.0,5.000447047253788
AL_325,0,0.0,0.0,10.0,4.938725490196078,0.0,5.001156981346014
AL_324,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_326,0,0.0,0.0,10.0,5.214460784313726,10.0,4.996929696532135
AL_328,0,0.0,0.0,10.0,9.154411764705882,10.0,2.783093417979895
AL_113,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_95,0,0.0,0.0,10.0,9.557226399331663,10.0,2.0579664102028556
AL_92,0,0.0,0.0,10.0,7.184628237259816,10.0,4.49936795631628
AL_93,0,0.0,0.0,10.0,5.213032581453634,10.0,4.9975476169537565
AL_89,0,0.0,0.0,10.0,8.788638262322474,10.0,3.264218381037539
AL_86,0,0.0,0.0,10.0,5.697577276524645,10.0,4.9531688932813
AL_120,0,0.0,0.0,10.0,5.181695827725437,10.0,4.99837967863527
AL_116,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_125,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_122,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_119,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_128,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_131,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_134,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_135,0,0.0,0.0,10.0,5.5518169582772545,10.0,4.9711294500918815
AL_137,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_111,0,0.0,0.0,10.0,5.363391655450875,10.0,4.988455933119091
AL_110,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_83,0,0.0,0.0,10.0,7.47702589807853,10.0,4.345125494394582
AL_56,0,0.0,0.0,10.0,9.062087186261559,10.0,2.916344510460926
AL_191,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_53,0,0.0,0.0,2.49823e+16,29056208718634.258,10.0,703393248142608.2
AL_54,0,0.0,0.0,10.0,4.986789960369881,0.0,5.001634617086069
AL_185,0,0.0,2646900.0,2646900.0,2646900.0,2646900.0,0.0
AL_179,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_177,0,0.0,0.0,10.0,5.03364737550471,10.0,5.0015699643780716
AL_176,0,0.0,10.0,10.0,10.0,10.0,0.0
AL_173,0,0.0,10.0,10.0,10.0,10.0,0.0
