,korelasyon
AL_100,-0.017833104862417244
AL_109,-0.017189039827348877
AL_67,0.016713119526922435
AL_250,-0.016478237388995405
AL_193,0.01647250920689952
AL_253,-0.016152911465266047
AL_315,-0.015980896695479245
AL_239,0.015623256446954267
AL_3,0.015164347058922705
AL_221,0.014835305022865274
AL_85,-0.014804477766851249
AL_59,0.014645763929561567
AL_225,-0.014602525839145468
AL_2,-0.014003471130431766
AL_213,-0.01331962792289406
AL_249,0.013234569669704169
AL_76,-0.012963212391530698
AL_111,-0.01291875267287283
AL_334,-0.01273010354669377
AL_45,-0.012394824836929198
AL_37,-0.012289580252859582
AL_130,-0.012175074392747218
AL_314,0.011978297365754795
AL_52,-0.011375430649537254
AL_206,-0.011141432282181628
AL_235,-0.010965847319431277
AL_78,-0.010356583705905415
AL_310,-0.010161974383664655
AL_245,-0.008833035265918117
AL_46,-0.00856953078180242
AL_202,-0.008428493837497573
EK_1,0.007500023420981453
AL_319,-0.00698149314676473
AL_129,0.006291990309899174
AL_69,-0.006202021126078725
AL_279,0.006141797745557553
AL_268,-0.005609898596619851
AL_192,-0.005556909654779247
AL_20,-0.005530774481732407
AL_277,0.004849777997253307
AL_308,-0.0047092386796117195
AL_117,0.004539388235724332
AL_114,0.0043672088433921175
AL_25,-0.0040290504259669225
AL_68,-0.003685062885007679
AL_174,0.003613986226711475
AL_153,-0.0033447453050901447
AL_265,-0.0031268625629984146
AL_58,0.0030824148661759997
AL_168,0.002659108660615146
AL_138,-0.0023955099692862616
AL_238,0.002336093984123496
AL_36,0.002056570936640649
AL_333,-0.001972259302182601
AL_264,0.0015455355551553353
AL_325,0.0013042868209554694
AL_150,-0.0012978210359818713
AL_97,-0.0011549609044842486
AL_145,0.0009652477972912589
AL_96,-0.0005619520839242079
AL_34,9.976046174142307e-05
