feature,spearman_r,p_value
AL_232,-0.1549947438138089,3.209446161796079e-17
AL_253,-0.15424722529599016,4.5614267790687496e-17
AL_10,-0.1540010743267153,5.119277118374642e-17
AL_12,-0.15380647778065704,5.607431593609141e-17
AL_258,-0.15246487345578125,1.0473220317732286e-16
AL_125,-0.15202735852652016,1.2824357164541925e-16
AL_137,-0.15202735852652016,1.2824357164541925e-16
AL_128,-0.15202735852652016,1.2824357164541925e-16
AL_134,-0.15202735852652016,1.2824357164541925e-16
AL_122,-0.15202735852652016,1.2824357164541925e-16
AL_110,-0.15202735852652016,1.2824357164541925e-16
AL_119,-0.15202735852652016,1.2824357164541925e-16
AL_116,-0.15202735852652016,1.2824357164541925e-16
AL_113,-0.15202735852652016,1.2824357164541925e-16
AL_143,-0.15202735852652016,1.2824357164541925e-16
AL_107,-0.15202735852652016,1.2824357164541925e-16
AL_104,-0.15202735852652016,1.2824357164541925e-16
AL_101,-0.15202735852652016,1.2824357164541925e-16
AL_140,-0.15202735852652016,1.2824357164541925e-16
AL_179,-0.15202735852652016,1.2824357164541925e-16
AL_170,-0.15202735852652016,1.2824357164541925e-16
AL_152,-0.15202735852652016,1.2824357164541925e-16
AL_182,-0.15202735852652016,1.2824357164541925e-16
AL_176,-0.15202735852652016,1.2824357164541925e-16
AL_173,-0.15202735852652016,1.2824357164541925e-16
AL_167,-0.15202735852652016,1.2824357164541925e-16
AL_164,-0.15202735852652016,1.2824357164541925e-16
AL_161,-0.15202735852652016,1.2824357164541925e-16
AL_158,-0.15202735852652016,1.2824357164541925e-16
AL_155,-0.15202735852652016,1.2824357164541925e-16
AL_131,-0.15202735852652016,1.2824357164541925e-16
AL_149,-0.15202735852652016,1.2824357164541925e-16
AL_146,-0.15202735852652016,1.2824357164541925e-16
AL_257,-0.15185154289852998,1.3909384613931895e-16
AL_245,-0.15169528989925052,1.4949292094465732e-16
AL_11,-0.15150516210553297,1.6318395081128807e-16
AL_187,-0.15129529021728577,1.7973383461320376e-16
AL_228,-0.1503054440776517,2.829415791379464e-16
AL_86,-0.14977328089926792,3.606616426196443e-16
AL_246,-0.1493043770520494,4.463323795867925e-16
AL_210,-0.14909713521480758,4.903119286900731e-16
AL_249,-0.14821425135315747,7.30636321450501e-16
AL_293,-0.14799985928269208,8.046535236673368e-16
AL_326,-0.14776446793895354,8.944382848111127e-16
AL_96,-0.1475690209615322,9.764262536956412e-16
AL_242,-0.14748808779873848,1.0125042737012437e-15
AL_285,-0.14671664334078327,1.4294011098659527e-15
AL_273,-0.14627460960642497,1.7402240159997666e-15
AL_310,-0.14624844784890953,1.7605743878896803e-15
AL_294,-0.14592123742028462,2.035769827334139e-15
AL_75,-0.14551641639682938,2.4353718497447124e-15
AL_330,-0.14389055042282148,4.977038450666481e-15
AL_264,-0.14275910930019522,8.145170231341596e-15
AL_229,-0.1419991257881205,1.1314544553884367e-14
AL_322,-0.13982106701987582,2.873763531294405e-14
AL_221,-0.13975940415408994,2.949985276606141e-14
AL_84,-0.1387042807475641,4.608620027212419e-14
AL_237,-0.13504343501661306,2.1103745966699665e-13
AL_123,-0.13475584676054017,2.3742041003349806e-13
AL_165,-0.13435837143299936,2.7928278833212415e-13
AL_201,-0.13418424632288173,2.998294824284195e-13
AL_209,-0.13044733733195887,1.345488145901379e-12
AL_314,-0.1293741540751749,2.0545944599421057e-12
AL_144,-0.12839951260482066,3.0087032316312038e-12
AL_270,-0.1280727249626523,3.4169760642426866e-12
AL_313,-0.12786476977477704,3.704554113655908e-12
AL_268,-0.12584883104721534,8.053795495341938e-12
AL_238,-0.12496509552065561,1.1276386409795303e-11
AL_171,-0.12482523295778408,1.1890755451845353e-11
AL_334,-0.12461571607069591,1.2872864171010076e-11
AL_308,-0.12360351854924223,1.885272566579865e-11
AL_135,-0.12330790410635774,2.1062709325724086e-11
AL_300,-0.12290638313681376,2.4474742018780025e-11
AL_90,-0.12213358894193642,3.2630332480138065e-11
AL_329,-0.12212568450174785,3.2726158746916795e-11
AL_180,-0.12205058420383923,3.3650447544010705e-11
AL_78,-0.1216609155376017,3.8871704047933874e-11
AL_321,-0.12099165644462834,4.974631819238655e-11
AL_218,-0.12007380163311504,6.961961070613179e-11
AL_333,-0.11776206706904077,1.6051650993779255e-10
AL_301,-0.11707936166563791,2.0480031274351135e-10
AL_162,-0.11631704981877705,2.683890141223655e-10
AL_168,-0.11520008823759098,3.976232302386322e-10
AL_304,-0.11512853346958665,4.077110472780992e-10
AL_325,-0.11394780602087813,6.150898578278026e-10
AL_73,-0.11378556088670104,6.506348261110832e-10
AL_87,-0.11355976831103716,7.034541146960927e-10
AL_99,-0.11327668802450679,7.756070920290249e-10
AL_120,-0.11316070879975618,8.072085933643284e-10
AL_102,-0.11237669407572981,1.0562692126507238e-09
AL_147,-0.1102613425410111,2.162341275259923e-09
AL_129,-0.10969660633715672,2.612259171738827e-09
AL_156,-0.10909693705280515,3.1896032714598527e-09
AL_177,-0.10692472950785749,6.5162123263537536e-09
AL_317,-0.10450780479416488,1.419340475987165e-08
AL_114,-0.10320230726834406,2.1458180785830182e-08
AL_126,-0.10221634817308257,2.9222522875572385e-08
AL_150,-0.1017401117487616,3.388890791015463e-08
AL_111,-0.09943999544233416,6.866423157670012e-08
AL_174,-0.0987924699177192,8.353115552760723e-08
AL_141,-0.09817848332163752,1.0047656558357954e-07
AL_108,-0.09730123792816588,1.305700454462087e-07
AL_64,-0.0965952221151363,1.6095469394885494e-07
AL_40,-0.09626125055999551,1.776083219428936e-07
AL_117,-0.09279182183334912,4.845115169197236e-07
AL_159,-0.09241859059614298,5.386207106281835e-07
AL_153,-0.0909167666089884,8.213283431423611e-07
AL_138,-0.0906447996079343,8.859198475100259e-07
AL_45,-0.08689919456973591,2.4587812308365496e-06
AL_132,-0.08598109050308848,3.1383052592409946e-06
AL_43,-0.08534570489110463,3.710375441953008e-06
AL_105,-0.08412154411594996,5.106258560562911e-06
AL_65,-0.08294193877940868,6.917776841958811e-06
AL_46,-0.08225186984695995,8.247092969544851e-06
AL_42,-0.08213686902281898,8.491107078169415e-06
AL_52,-0.07799349051054182,2.3671630704975975e-05
AL_55,-0.07587446519401095,3.9237942068835854e-05
AL_61,-0.07584736025620242,3.9489132690161756e-05
AL_74,-0.07295609484369543,7.70700774049574e-05
AL_70,-0.07100332065642147,0.0001194536169664258
AL_58,-0.07060642692422518,0.00013040869906433606
AL_62,-0.06708515059256065,0.00027857538465149033
AL_39,-0.06642905011980171,0.0003196587685803369
AL_44,-0.06377772998126015,0.0005505198591257715
AL_51,-0.06343961824160492,0.0005892041965925434
AL_56,-0.06330042042709419,0.0006058533137182091
AL_41,-0.06151302229659919,0.0008623334278512972
AL_60,-0.05986895675427472,0.0011838019846255633
AL_49,-0.05843050164723783,0.0015523939743968722
AL_47,-0.05752216873075431,0.0018367860754661062
AL_72,-0.05505220521908142,0.0028689144589999424
AL_53,-0.0550238182340643,0.002883373588119999
AL_69,-0.053436293418563825,0.003806037690523407
AL_59,-0.05226614815374758,0.004649719200256223
AL_63,-0.05212399421547538,0.004762988490688784
AL_48,-0.05143697989353954,0.005346374457567853
AL_71,-0.05052861810069189,0.006216548856235397
AL_67,-0.04994956021364852,0.006835794828627926
AL_50,-0.048353723838985924,0.008838899227853778
AL_57,-0.045918686242241984,0.012910468829261822
AL_66,-0.045182732744760284,0.014431451749871082
AL_68,-0.04111678479419123,0.026014081063278585
AL_54,-0.02039790223911842,0.26961052335311225
