ozellik,spearman_r,auc,cliff_delta,ayrim_gucu,yon,anlamli
AL_45,-0.144,0.399,-0.201,0.101,benign,hayir
AL_215,-0.145,0.401,-0.199,0.099,benign,hayir
AL_132,-0.156,0.402,-0.195,0.098,benign,hayir
AL_145,-0.132,0.403,-0.194,0.097,benign,hayir
AL_115,-0.133,0.403,-0.195,0.097,benign,hayir
EK_6,0.142,0.596,0.192,0.096,patojenik,hayir
AL_247,-0.132,0.405,-0.189,0.095,benign,hayir
AL_127,-0.125,0.408,-0.183,0.092,benign,hayir
AL_296,-0.124,0.409,-0.182,0.091,benign,hayir
AL_283,-0.125,0.41,-0.18,0.09,benign,hayir
AL_17,-0.131,0.41,-0.18,0.09,benign,hayir
AL_102,-0.146,0.412,-0.176,0.088,benign,hayir
AA_2,-0.118,0.413,-0.173,0.087,benign,hayir
AL_39,-0.144,0.413,-0.174,0.087,benign,hayir
AL_83,-0.175,0.413,-0.175,0.087,benign,hayir
AL_3,-0.202,0.414,-0.171,0.086,benign,hayir
AL_6,0.198,0.584,0.168,0.084,patojenik,hayir
AL_235,-0.117,0.416,-0.168,0.084,benign,hayir
AL_323,-0.114,0.416,-0.167,0.084,benign,hayir
EK_2,0.113,0.584,0.167,0.084,patojenik,hayir
AL_77,-0.191,0.417,-0.167,0.083,benign,hayir
CAT_2,-0.113,0.419,-0.161,0.081,benign,hayir
AL_221,-0.117,0.419,-0.163,0.081,benign,hayir
AL_192,-0.146,0.42,-0.16,0.08,benign,hayir
AL_29,0.253,0.579,0.157,0.079,patojenik,hayir
AL_282,0.143,0.579,0.159,0.079,patojenik,hayir
AL_89,-0.184,0.422,-0.156,0.078,benign,hayir
AL_26,-0.106,0.422,-0.157,0.078,benign,hayir
AL_202,-0.132,0.422,-0.156,0.078,benign,hayir
AL_88,-0.106,0.423,-0.153,0.077,benign,hayir
AL_255,-0.107,0.423,-0.153,0.077,benign,hayir
AL_319,-0.105,0.423,-0.154,0.077,benign,hayir
AL_135,-0.123,0.425,-0.151,0.075,benign,hayir
AL_245,0.132,0.574,0.148,0.074,patojenik,hayir
AL_103,-0.101,0.426,-0.148,0.074,benign,hayir
AL_328,0.221,0.573,0.146,0.073,patojenik,hayir
AL_250,-0.13,0.427,-0.146,0.073,benign,hayir
AL_297,0.116,0.573,0.146,0.073,patojenik,hayir
AL_70,-0.1,0.428,-0.145,0.072,benign,hayir
AL_239,-0.1,0.428,-0.144,0.072,benign,hayir
EK_8,0.097,0.571,0.142,0.071,patojenik,hayir
AL_118,-0.094,0.431,-0.139,0.069,benign,hayir
AL_35,0.28,0.567,0.133,0.067,patojenik,hayir
AL_322,0.107,0.567,0.135,0.067,patojenik,hayir
AL_139,0.092,0.567,0.134,0.067,patojenik,hayir
AL_228,-0.113,0.434,-0.132,0.066,benign,hayir
AL_229,-0.113,0.434,-0.132,0.066,benign,hayir
AL_190,-0.091,0.434,-0.131,0.066,benign,hayir
AL_253,-0.113,0.435,-0.13,0.065,benign,hayir
AL_188,-0.091,0.435,-0.13,0.065,benign,hayir
AL_186,-0.088,0.435,-0.13,0.065,benign,hayir
AL_334,0.108,0.564,0.129,0.064,patojenik,hayir
AL_87,-0.108,0.436,-0.129,0.064,benign,hayir
EK_4,0.09,0.563,0.126,0.063,patojenik,hayir
AL_163,-0.086,0.437,-0.126,0.063,benign,hayir
AL_259,-0.109,0.437,-0.125,0.063,benign,hayir
AL_156,-0.101,0.437,-0.126,0.063,benign,hayir
AL_310,-0.098,0.438,-0.124,0.062,benign,hayir
AL_20,-0.089,0.439,-0.122,0.061,benign,hayir
AL_271,-0.085,0.439,-0.122,0.061,benign,hayir
AL_93,-0.104,0.44,-0.121,0.06,benign,hayir
AL_117,-0.097,0.44,-0.121,0.06,benign,hayir
AL_86,-0.104,0.44,-0.121,0.06,benign,hayir
AL_81,-0.104,0.44,-0.121,0.06,benign,hayir
AL_273,-0.086,0.44,-0.121,0.06,benign,hayir
AL_314,-0.097,0.44,-0.121,0.06,benign,hayir
AL_172,-0.079,0.442,-0.116,0.058,benign,hayir
AL_181,-0.079,0.442,-0.115,0.058,benign,hayir
AL_249,0.099,0.557,0.113,0.057,patojenik,hayir
AL_30,-0.132,0.444,-0.112,0.056,benign,hayir
CAT_1,0.077,0.556,0.113,0.056,patojenik,hayir
AL_1,-0.132,0.444,-0.112,0.056,benign,hayir
AL_78,-0.096,0.445,-0.11,0.055,benign,hayir
AL_305,0.088,0.555,0.11,0.055,patojenik,hayir
AL_2,-0.127,0.446,-0.108,0.054,benign,hayir
AL_223,-0.092,0.446,-0.107,0.054,benign,hayir
AL_75,-0.089,0.447,-0.106,0.053,benign,hayir
AL_25,-0.078,0.447,-0.107,0.053,benign,hayir
AL_54,-0.089,0.447,-0.106,0.053,benign,hayir
AL_230,0.073,0.552,0.105,0.052,patojenik,hayir
AL_187,-0.088,0.448,-0.103,0.052,benign,hayir
AL_184,-0.073,0.45,-0.101,0.05,benign,hayir
AL_53,-0.114,0.452,-0.097,0.048,benign,hayir
AL_15,-0.065,0.452,-0.095,0.048,benign,hayir
AL_142,-0.064,0.453,-0.094,0.047,benign,hayir
AL_306,-0.063,0.454,-0.092,0.046,benign,hayir
AL_153,-0.075,0.454,-0.092,0.046,benign,hayir
AL_183,-0.086,0.455,-0.09,0.045,benign,hayir
AL_333,-0.07,0.456,-0.087,0.044,benign,hayir
AL_251,-0.06,0.457,-0.086,0.043,benign,hayir
AL_285,0.071,0.542,0.084,0.042,patojenik,hayir
AL_278,0.061,0.542,0.085,0.042,patojenik,hayir
AL_72,-0.071,0.458,-0.084,0.042,benign,hayir
AL_270,-0.069,0.459,-0.082,0.041,benign,hayir
AL_302,-0.055,0.459,-0.081,0.041,benign,hayir
AL_85,-0.057,0.459,-0.083,0.041,benign,hayir
AL_260,-0.057,0.459,-0.083,0.041,benign,hayir
AL_241,-0.072,0.459,-0.081,0.041,benign,hayir
AL_46,-0.055,0.46,-0.08,0.04,benign,hayir
AL_40,0.055,0.54,0.08,0.04,patojenik,hayir
AL_214,-0.077,0.46,-0.079,0.04,benign,hayir
AL_18,-0.058,0.46,-0.079,0.04,benign,hayir
AL_51,-0.067,0.461,-0.079,0.039,benign,hayir
AL_268,0.066,0.539,0.078,0.039,patojenik,hayir
AL_330,-0.062,0.461,-0.078,0.039,benign,hayir
AL_111,-0.062,0.461,-0.078,0.039,benign,hayir
AL_308,-0.061,0.462,-0.076,0.038,benign,hayir
AL_98,-0.069,0.462,-0.076,0.038,benign,hayir
AL_105,0.053,0.537,0.073,0.037,patojenik,hayir
AL_13,-0.05,0.463,-0.073,0.037,benign,hayir
AL_304,-0.051,0.463,-0.075,0.037,benign,hayir
AL_61,-0.051,0.463,-0.074,0.037,benign,hayir
AL_160,-0.049,0.464,-0.072,0.036,benign,hayir
AL_43,0.049,0.536,0.072,0.036,patojenik,hayir
AL_166,-0.048,0.465,-0.07,0.035,benign,hayir
AL_96,0.06,0.535,0.07,0.035,patojenik,hayir
AL_266,-0.049,0.465,-0.07,0.035,benign,hayir
AL_277,0.051,0.535,0.071,0.035,patojenik,hayir
AL_99,-0.054,0.467,-0.067,0.033,benign,hayir
AL_291,0.046,0.533,0.066,0.033,patojenik,hayir
AL_69,0.055,0.533,0.067,0.033,patojenik,hayir
AL_10,-0.045,0.467,-0.066,0.033,benign,hayir
AL_193,-0.054,0.469,-0.062,0.031,benign,hayir
AL_243,0.043,0.531,0.061,0.031,patojenik,hayir
AL_311,-0.042,0.469,-0.061,0.031,benign,hayir
AL_52,-0.042,0.469,-0.061,0.031,benign,hayir
AL_124,0.043,0.531,0.062,0.031,patojenik,hayir
AL_162,0.05,0.531,0.062,0.031,patojenik,hayir
AL_16,-0.044,0.47,-0.06,0.03,benign,hayir
AL_114,-0.049,0.471,-0.059,0.029,benign,hayir
AL_138,0.049,0.529,0.059,0.029,patojenik,hayir
AL_63,-0.049,0.471,-0.059,0.029,benign,hayir
AL_36,-0.065,0.472,-0.055,0.028,benign,hayir
AL_321,0.045,0.528,0.056,0.028,patojenik,hayir
AL_286,0.048,0.528,0.056,0.028,patojenik,hayir
AL_5,-0.065,0.472,-0.055,0.028,benign,hayir
AL_217,-0.051,0.472,-0.056,0.028,benign,hayir
AL_262,0.038,0.527,0.054,0.027,patojenik,hayir
AL_174,-0.042,0.474,-0.052,0.026,benign,hayir
CAT_5,0.036,0.526,0.051,0.026,patojenik,hayir
CAT_3,0.036,0.526,0.051,0.026,patojenik,hayir
CAT_4,0.036,0.526,0.051,0.026,patojenik,hayir
AL_12,0.036,0.526,0.053,0.026,patojenik,hayir
AL_66,-0.043,0.474,-0.052,0.026,benign,hayir
AL_68,-0.072,0.474,-0.052,0.026,benign,hayir
AL_38,-0.058,0.475,-0.05,0.025,benign,hayir
AL_144,-0.041,0.475,-0.051,0.025,benign,hayir
AL_120,-0.041,0.475,-0.051,0.025,benign,hayir
AL_177,-0.041,0.475,-0.051,0.025,benign,hayir
AL_41,0.197,0.524,0.048,0.024,patojenik,hayir
AL_225,0.038,0.522,0.044,0.022,patojenik,hayir
AL_141,-0.036,0.478,-0.044,0.022,benign,hayir
EK_3,0.031,0.522,0.043,0.022,patojenik,hayir
AL_97,-0.03,0.478,-0.043,0.022,benign,hayir
AL_207,-0.03,0.478,-0.043,0.022,benign,hayir
AL_275,-0.029,0.479,-0.041,0.021,benign,hayir
AL_246,-0.04,0.479,-0.043,0.021,benign,hayir
AL_274,0.037,0.521,0.042,0.021,patojenik,hayir
AL_226,-0.029,0.479,-0.042,0.021,benign,hayir
AL_261,-0.037,0.479,-0.041,0.021,benign,hayir
AL_129,0.028,0.52,0.039,0.02,patojenik,hayir
AL_295,-0.029,0.48,-0.039,0.02,benign,hayir
AL_171,0.032,0.52,0.04,0.02,patojenik,hayir
AL_234,0.034,0.52,0.04,0.02,patojenik,hayir
AL_108,-0.033,0.48,-0.041,0.02,benign,hayir
AL_198,0.032,0.519,0.037,0.019,patojenik,hayir
AL_64,-0.026,0.481,-0.038,0.019,benign,hayir
AL_313,-0.028,0.481,-0.038,0.019,benign,hayir
AL_95,0.107,0.518,0.037,0.018,patojenik,hayir
AL_237,-0.026,0.482,-0.036,0.018,benign,hayir
AA_1,-0.023,0.483,-0.034,0.017,benign,hayir
AL_24,-0.025,0.483,-0.034,0.017,benign,hayir
AL_65,-0.081,0.483,-0.033,0.017,benign,hayir
AL_71,-0.081,0.483,-0.033,0.017,benign,hayir
AL_90,0.028,0.517,0.033,0.017,patojenik,hayir
AL_123,-0.027,0.483,-0.034,0.017,benign,hayir
AL_258,0.028,0.517,0.033,0.017,patojenik,hayir
AL_165,-0.027,0.483,-0.033,0.017,benign,hayir
AL_194,-0.021,0.485,-0.031,0.015,benign,hayir
AL_56,-0.046,0.485,-0.03,0.015,benign,hayir
AL_154,-0.02,0.485,-0.03,0.015,benign,hayir
AL_42,0.025,0.514,0.029,0.014,patojenik,hayir
AL_222,-0.022,0.487,-0.025,0.013,benign,hayir
AL_293,0.024,0.513,0.026,0.013,patojenik,hayir
AL_136,-0.018,0.487,-0.026,0.013,benign,hayir
AL_294,0.022,0.513,0.025,0.013,patojenik,hayir
AL_59,0.061,0.513,0.025,0.013,patojenik,hayir
AL_326,-0.018,0.489,-0.022,0.011,benign,hayir
CAT_6,0.065,0.511,0.022,0.011,patojenik,hayir
AL_74,-0.065,0.489,-0.022,0.011,benign,hayir
AL_331,-0.013,0.49,-0.019,0.01,benign,hayir
AL_50,-0.031,0.49,-0.019,0.01,benign,hayir
AL_112,-0.012,0.491,-0.018,0.009,benign,hayir
AL_203,0.012,0.508,0.017,0.008,patojenik,hayir
AL_133,-0.012,0.492,-0.017,0.008,benign,hayir
AL_100,-0.011,0.492,-0.016,0.008,benign,hayir
AL_175,0.012,0.508,0.017,0.008,patojenik,hayir
AL_329,0.012,0.507,0.014,0.007,patojenik,hayir
AL_210,-0.012,0.493,-0.014,0.007,benign,hayir
AL_238,-0.012,0.493,-0.014,0.007,benign,hayir
AL_189,0.012,0.507,0.014,0.007,patojenik,hayir
AL_317,0.012,0.507,0.014,0.007,patojenik,hayir
AL_254,0.011,0.507,0.015,0.007,patojenik,hayir
AL_265,-0.012,0.493,-0.014,0.007,benign,hayir
AL_196,0.012,0.507,0.014,0.007,patojenik,hayir
EK_5,-0.009,0.494,-0.013,0.006,benign,hayir
AL_257,0.01,0.506,0.011,0.006,patojenik,hayir
AL_201,-0.008,0.494,-0.012,0.006,benign,hayir
AL_301,-0.009,0.494,-0.013,0.006,benign,hayir
AL_67,-0.008,0.494,-0.012,0.006,benign,hayir
AL_168,0.008,0.505,0.011,0.005,patojenik,hayir
AL_281,-0.007,0.496,-0.008,0.004,benign,hayir
AL_147,0.006,0.504,0.007,0.004,patojenik,hayir
AL_9,0.004,0.503,0.006,0.003,patojenik,hayir
AL_4,-0.006,0.497,-0.005,0.003,benign,hayir
AL_300,-0.005,0.497,-0.006,0.003,benign,hayir
AL_28,0.004,0.502,0.003,0.002,patojenik,hayir
AL_242,0.003,0.502,0.003,0.002,patojenik,hayir
AL_57,-0.003,0.498,-0.004,0.002,benign,hayir
AL_209,0.003,0.502,0.004,0.002,patojenik,hayir
AL_180,-0.003,0.498,-0.003,0.002,benign,hayir
AL_232,0.003,0.502,0.003,0.002,patojenik,hayir
AL_218,-0.003,0.498,-0.003,0.002,benign,hayir
AL_290,-0.003,0.498,-0.003,0.002,benign,hayir
AL_48,-0.003,0.498,-0.004,0.002,benign,hayir
AL_31,-0.002,0.499,-0.002,0.001,benign,hayir
AL_32,-0.001,0.499,-0.001,0.001,benign,hayir
AL_150,-0.0,0.5,0.0,0.0,patojenik,hayir
AL_213,-0.0,0.5,0.0,0.0,benign,hayir
AL_84,-0.0,0.5,0.0,0.0,benign,hayir
