ozellik,spearman_r,auc,cliff_delta,ayrim_gucu,yon,anlamli
AL_10,-0.092,0.431,-0.137,0.069,benign,hayir
AL_48,0.1,0.569,0.138,0.069,patojenik,hayir
AL_13,0.091,0.568,0.137,0.068,patojenik,hayir
AL_275,0.101,0.567,0.133,0.067,patojenik,hayir
AL_88,0.097,0.566,0.131,0.066,patojenik,hayir
AL_298,0.086,0.566,0.131,0.066,patojenik,hayir
EK_6,0.087,0.565,0.13,0.065,patojenik,hayir
AL_72,-0.127,0.436,-0.128,0.064,benign,hayir
AL_130,0.086,0.563,0.126,0.063,patojenik,hayir
AL_169,0.085,0.563,0.126,0.063,patojenik,hayir
AL_165,-0.086,0.437,-0.126,0.063,benign,hayir
AL_147,0.085,0.562,0.125,0.062,patojenik,hayir
AL_160,0.082,0.561,0.121,0.061,patojenik,hayir
AL_266,-0.09,0.441,-0.118,0.059,benign,hayir
AL_19,0.092,0.559,0.119,0.059,patojenik,hayir
AL_277,0.088,0.558,0.115,0.058,patojenik,hayir
AL_25,0.086,0.556,0.112,0.056,patojenik,hayir
AL_58,-0.079,0.445,-0.109,0.055,benign,hayir
AL_210,0.083,0.555,0.11,0.055,patojenik,hayir
AL_23,0.086,0.555,0.111,0.055,patojenik,hayir
AL_241,0.084,0.555,0.11,0.055,patojenik,hayir
EK_4,0.071,0.553,0.105,0.053,patojenik,hayir
AL_302,0.07,0.553,0.106,0.053,patojenik,hayir
AL_224,0.081,0.553,0.107,0.053,patojenik,hayir
AL_255,0.08,0.553,0.106,0.053,patojenik,hayir
AL_333,0.07,0.553,0.107,0.053,patojenik,hayir
AL_297,-0.07,0.448,-0.103,0.052,benign,hayir
AL_262,-0.079,0.448,-0.105,0.052,benign,hayir
AL_141,-0.07,0.449,-0.103,0.051,benign,hayir
AL_219,-0.078,0.449,-0.103,0.051,benign,hayir
AL_24,0.078,0.55,0.101,0.05,patojenik,hayir
AL_327,0.066,0.55,0.101,0.05,patojenik,hayir
AL_120,0.103,0.55,0.101,0.05,patojenik,hayir
AL_82,-0.074,0.45,-0.101,0.05,benign,hayir
AL_60,0.07,0.548,0.097,0.048,patojenik,hayir
AL_100,0.066,0.548,0.097,0.048,patojenik,hayir
AL_186,0.062,0.548,0.095,0.048,patojenik,hayir
AL_260,0.071,0.547,0.094,0.047,patojenik,hayir
AA_1,-0.061,0.453,-0.094,0.047,benign,hayir
AL_246,0.097,0.547,0.093,0.047,patojenik,hayir
AL_55,0.067,0.547,0.094,0.047,patojenik,hayir
AL_73,0.066,0.546,0.091,0.046,patojenik,hayir
AL_148,0.06,0.545,0.089,0.045,patojenik,hayir
AL_207,0.068,0.545,0.089,0.045,patojenik,hayir
AL_230,-0.063,0.458,-0.083,0.042,benign,hayir
AL_132,0.078,0.542,0.084,0.042,patojenik,hayir
AL_153,0.058,0.542,0.085,0.042,patojenik,hayir
AL_314,-0.056,0.459,-0.082,0.041,benign,hayir
AL_124,0.056,0.541,0.082,0.041,patojenik,hayir
AL_279,-0.059,0.461,-0.077,0.039,benign,hayir
AL_138,-0.053,0.462,-0.077,0.038,benign,hayir
AL_136,0.051,0.538,0.075,0.038,patojenik,hayir
AL_329,-0.051,0.462,-0.077,0.038,benign,hayir
AL_135,0.053,0.538,0.077,0.038,patojenik,hayir
AL_63,0.054,0.537,0.075,0.037,patojenik,hayir
AL_188,0.056,0.537,0.073,0.037,patojenik,hayir
AL_127,0.05,0.537,0.074,0.037,patojenik,hayir
AL_286,0.111,0.537,0.075,0.037,patojenik,hayir
AL_111,0.07,0.537,0.074,0.037,patojenik,hayir
AL_81,-0.054,0.464,-0.073,0.036,benign,hayir
AL_234,-0.055,0.464,-0.072,0.036,benign,hayir
AL_189,0.055,0.536,0.072,0.036,patojenik,hayir
AL_271,0.054,0.536,0.071,0.036,patojenik,hayir
AL_69,0.052,0.536,0.072,0.036,patojenik,hayir
AL_194,0.054,0.535,0.071,0.035,patojenik,hayir
AL_175,0.048,0.535,0.07,0.035,patojenik,hayir
AA_2,-0.044,0.466,-0.068,0.034,benign,hayir
AL_22,-0.053,0.466,-0.069,0.034,benign,hayir
AL_70,-0.048,0.466,-0.067,0.034,benign,hayir
AL_85,0.05,0.534,0.067,0.034,patojenik,hayir
AL_202,-0.052,0.466,-0.069,0.034,benign,hayir
AL_178,0.044,0.533,0.065,0.033,patojenik,hayir
AL_330,-0.044,0.467,-0.065,0.033,benign,hayir
AL_109,0.043,0.532,0.063,0.032,patojenik,hayir
AL_289,-0.05,0.468,-0.065,0.032,benign,hayir
AL_151,0.04,0.53,0.059,0.03,patojenik,hayir
AL_129,0.041,0.53,0.06,0.03,patojenik,hayir
AL_61,0.043,0.53,0.06,0.03,patojenik,hayir
AL_26,-0.038,0.471,-0.058,0.029,benign,hayir
AL_29,-0.112,0.471,-0.057,0.029,benign,hayir
AL_83,-0.059,0.471,-0.058,0.029,benign,hayir
AL_40,0.041,0.528,0.056,0.028,patojenik,hayir
AL_37,0.111,0.528,0.056,0.028,patojenik,hayir
AL_198,0.042,0.528,0.056,0.028,patojenik,hayir
AL_102,0.053,0.528,0.056,0.028,patojenik,hayir
AL_144,0.046,0.527,0.053,0.027,patojenik,hayir
AL_174,-0.037,0.473,-0.055,0.027,benign,hayir
AL_193,-0.042,0.473,-0.055,0.027,benign,hayir
AL_235,-0.04,0.473,-0.053,0.027,benign,hayir
AL_20,0.042,0.527,0.055,0.027,patojenik,hayir
AL_211,0.041,0.527,0.055,0.027,patojenik,hayir
AL_254,0.039,0.526,0.051,0.026,patojenik,hayir
AL_166,0.035,0.526,0.051,0.026,patojenik,hayir
AL_89,0.075,0.526,0.052,0.026,patojenik,hayir
AL_278,0.037,0.525,0.049,0.025,patojenik,hayir
AL_258,0.039,0.525,0.051,0.025,patojenik,hayir
AL_206,0.038,0.525,0.049,0.025,patojenik,hayir
AL_156,0.034,0.525,0.05,0.025,patojenik,hayir
AL_139,0.034,0.525,0.051,0.025,patojenik,hayir
AL_9,-0.034,0.475,-0.051,0.025,benign,hayir
CAT_2,-0.036,0.476,-0.049,0.024,benign,hayir
AL_270,-0.036,0.476,-0.048,0.024,benign,hayir
AL_218,0.036,0.524,0.048,0.024,patojenik,hayir
AL_311,0.032,0.524,0.049,0.024,patojenik,hayir
AL_94,-0.034,0.477,-0.047,0.023,benign,hayir
AL_64,0.032,0.522,0.044,0.022,patojenik,hayir
AL_16,0.034,0.522,0.044,0.022,patojenik,hayir
AL_57,0.031,0.522,0.044,0.022,patojenik,hayir
AL_39,0.041,0.522,0.044,0.022,patojenik,hayir
AL_106,0.028,0.521,0.041,0.021,patojenik,hayir
AL_45,-0.03,0.479,-0.041,0.021,benign,hayir
AL_162,0.028,0.521,0.042,0.021,patojenik,hayir
AL_77,-0.049,0.479,-0.042,0.021,benign,hayir
AL_157,0.029,0.521,0.042,0.021,patojenik,hayir
AL_183,-0.046,0.48,-0.039,0.02,benign,hayir
AL_251,-0.03,0.48,-0.039,0.02,benign,hayir
AL_96,0.029,0.52,0.04,0.02,patojenik,hayir
AL_301,-0.027,0.48,-0.041,0.02,benign,hayir
AL_287,0.031,0.52,0.04,0.02,patojenik,hayir
AL_42,0.034,0.519,0.037,0.019,patojenik,hayir
AL_274,0.03,0.519,0.039,0.019,patojenik,hayir
AL_87,0.041,0.519,0.038,0.019,patojenik,hayir
AL_59,0.067,0.519,0.039,0.019,patojenik,hayir
AL_98,-0.038,0.481,-0.039,0.019,benign,hayir
AL_105,-0.026,0.481,-0.038,0.019,benign,hayir
AL_67,0.028,0.519,0.039,0.019,patojenik,hayir
CAT_1,0.024,0.518,0.036,0.018,patojenik,hayir
AL_328,-0.055,0.482,-0.035,0.018,benign,hayir
AL_215,-0.032,0.482,-0.036,0.018,benign,hayir
AL_97,0.025,0.517,0.034,0.017,patojenik,hayir
AL_75,-0.036,0.483,-0.034,0.017,benign,hayir
AL_51,0.023,0.516,0.032,0.016,patojenik,hayir
AL_187,-0.034,0.484,-0.031,0.016,benign,hayir
AL_53,0.04,0.516,0.032,0.016,patojenik,hayir
AL_261,0.029,0.515,0.029,0.015,patojenik,hayir
AL_242,-0.022,0.486,-0.029,0.014,benign,hayir
AL_253,-0.022,0.486,-0.028,0.014,benign,hayir
AL_66,-0.02,0.486,-0.028,0.014,benign,hayir
AL_199,0.02,0.514,0.027,0.014,patojenik,hayir
AL_46,-0.02,0.486,-0.027,0.014,benign,hayir
AL_315,0.019,0.514,0.029,0.014,patojenik,hayir
AL_41,0.093,0.513,0.026,0.013,patojenik,hayir
AL_50,0.028,0.513,0.026,0.013,patojenik,hayir
AL_118,0.018,0.513,0.027,0.013,patojenik,hayir
AL_71,-0.05,0.487,-0.026,0.013,benign,hayir
AL_181,0.018,0.513,0.026,0.013,patojenik,hayir
AL_294,0.018,0.512,0.024,0.012,patojenik,hayir
AL_117,0.016,0.512,0.023,0.012,patojenik,hayir
AL_159,0.016,0.512,0.024,0.012,patojenik,hayir
AL_52,-0.017,0.488,-0.024,0.012,benign,hayir
AL_180,0.022,0.512,0.025,0.012,patojenik,hayir
AL_291,0.018,0.512,0.024,0.012,patojenik,hayir
AL_226,0.017,0.511,0.022,0.011,patojenik,hayir
AL_238,0.016,0.511,0.021,0.011,patojenik,hayir
AL_62,-0.046,0.489,-0.023,0.011,benign,hayir
AL_334,-0.015,0.489,-0.022,0.011,benign,hayir
AL_65,0.041,0.51,0.019,0.01,patojenik,hayir
AL_239,0.015,0.51,0.02,0.01,patojenik,hayir
AL_93,0.021,0.51,0.019,0.01,patojenik,hayir
AL_5,0.038,0.51,0.019,0.01,patojenik,hayir
AL_6,0.037,0.51,0.019,0.01,patojenik,hayir
AL_3,-0.038,0.49,-0.019,0.01,benign,hayir
AL_317,0.013,0.51,0.02,0.01,patojenik,hayir
AL_31,0.038,0.51,0.019,0.01,patojenik,hayir
AL_4,0.036,0.509,0.018,0.009,patojenik,hayir
AL_1,0.037,0.509,0.019,0.009,patojenik,hayir
AL_313,-0.012,0.491,-0.019,0.009,benign,hayir
AL_2,-0.037,0.491,-0.019,0.009,benign,hayir
AL_310,-0.012,0.491,-0.019,0.009,benign,hayir
AL_33,-0.036,0.491,-0.019,0.009,benign,hayir
AL_32,0.036,0.509,0.019,0.009,patojenik,hayir
AL_34,-0.036,0.491,-0.018,0.009,benign,hayir
AL_35,-0.036,0.491,-0.018,0.009,benign,hayir
AL_38,-0.037,0.491,-0.019,0.009,benign,hayir
AL_229,-0.013,0.491,-0.018,0.009,benign,hayir
AL_36,0.036,0.509,0.018,0.009,patojenik,hayir
AL_28,-0.037,0.491,-0.019,0.009,benign,hayir
AL_30,-0.037,0.491,-0.019,0.009,benign,hayir
AL_225,-0.012,0.492,-0.016,0.008,benign,hayir
AL_8,-0.01,0.492,-0.015,0.008,benign,hayir
AL_15,0.011,0.508,0.016,0.008,patojenik,hayir
AL_84,-0.011,0.492,-0.015,0.008,benign,hayir
AL_86,-0.016,0.492,-0.016,0.008,benign,hayir
AL_92,0.018,0.508,0.016,0.008,patojenik,hayir
AL_95,-0.052,0.492,-0.016,0.008,benign,hayir
AL_79,0.012,0.508,0.016,0.008,patojenik,hayir
AL_14,0.011,0.508,0.016,0.008,patojenik,hayir
AL_190,0.012,0.508,0.016,0.008,patojenik,hayir
AL_319,0.009,0.507,0.013,0.007,patojenik,hayir
AL_243,0.01,0.507,0.013,0.007,patojenik,hayir
AL_290,0.01,0.507,0.014,0.007,patojenik,hayir
AL_12,-0.009,0.493,-0.014,0.007,benign,hayir
AL_203,0.011,0.507,0.014,0.007,patojenik,hayir
AL_154,0.01,0.507,0.015,0.007,patojenik,hayir
AL_68,-0.014,0.494,-0.013,0.006,benign,hayir
AL_91,0.009,0.506,0.012,0.006,patojenik,hayir
AL_331,-0.007,0.494,-0.011,0.006,benign,hayir
AL_325,-0.066,0.494,-0.013,0.006,benign,hayir
AL_305,0.009,0.506,0.013,0.006,patojenik,hayir
AL_265,0.01,0.506,0.013,0.006,patojenik,hayir
AL_54,-0.009,0.495,-0.01,0.005,benign,hayir
AL_44,0.04,0.505,0.01,0.005,patojenik,hayir
AL_250,0.011,0.505,0.01,0.005,patojenik,hayir
AL_318,-0.006,0.495,-0.009,0.005,benign,hayir
AL_99,-0.007,0.495,-0.01,0.005,benign,hayir
AL_184,0.008,0.505,0.01,0.005,patojenik,hayir
AL_11,-0.007,0.495,-0.011,0.005,benign,hayir
AL_168,0.006,0.504,0.009,0.004,patojenik,hayir
AL_21,-0.006,0.496,-0.008,0.004,benign,hayir
AL_223,-0.007,0.497,-0.006,0.003,benign,hayir
AL_214,0.009,0.503,0.007,0.003,patojenik,hayir
AL_47,-0.033,0.497,-0.006,0.003,benign,hayir
AL_56,0.012,0.503,0.006,0.003,patojenik,hayir
AL_142,0.003,0.502,0.004,0.002,patojenik,hayir
AL_18,0.002,0.502,0.003,0.002,patojenik,hayir
AL_163,0.002,0.502,0.003,0.002,patojenik,hayir
AL_78,0.004,0.502,0.004,0.002,patojenik,hayir
AL_74,-0.007,0.498,-0.003,0.002,benign,hayir
AL_76,-0.003,0.498,-0.005,0.002,benign,hayir
AL_27,0.01,0.502,0.003,0.002,patojenik,hayir
EK_1,-0.001,0.499,-0.002,0.001,benign,hayir
AL_108,-0.002,0.499,-0.002,0.001,benign,hayir
AL_114,-0.002,0.499,-0.003,0.001,benign,hayir
AL_259,-0.002,0.499,-0.002,0.001,benign,hayir
AL_90,-0.001,0.499,-0.001,0.001,benign,hayir
AL_282,-0.002,0.499,-0.002,0.001,benign,hayir
AL_17,0.0,0.5,0.001,0.0,patojenik,hayir
