column,variance,category
AL_210,0.24936383866864198,AL
AL_211,0.0019531860609848513,AL
AL_212,0.0,AL
AL_213,0.2496931346558533,AL
AL_214,0.24795348231328515,AL
AL_215,0.004186615439606341,AL
AL_216,0.0013297872340425532,AL
AL_217,0.24933931535372478,AL
AL_218,0.24980936845192867,AL
AL_219,0.001846120400136526,AL
AL_220,0.0,AL
AL_221,0.24840800800573007,AL
AL_222,0.249432857531628,AL
AL_223,0.25006829798964103,AL
AL_224,0.0017931956159462485,AL
AL_225,0.24966273611475173,AL
AL_226,0.0020885399622328363,AL
AL_227,0.0009606147934678195,AL
AL_228,0.24771828393326728,AL
AL_229,0.24962624093194327,AL
AL_230,0.0016420510146100255,AL
AL_231,0.0,AL
AL_232,0.24904215745491304,AL
AL_233,0.0,AL
AL_234,0.24822319231485634,AL
AL_235,0.0019179104733997234,AL
AL_236,0.0,AL
AL_237,0.24629442400952017,AL
AL_238,0.24882605764345983,AL
AL_239,0.001914600326002469,AL
AL_240,0.0009606147934678195,AL
AL_241,0.24754260718872892,AL
AL_242,0.24958701787170554,AL
AL_243,0.001993850145228247,AL
AL_244,0.0,AL
AL_245,0.24771961908585638,AL
AL_246,0.25024015369836694,AL
AL_247,0.001913238693431243,AL
AL_248,0.0,AL
AL_249,0.24940589473836092,AL
AL_250,0.24635465295518472,AL
AL_251,0.0032631132266617664,AL
AL_252,0.0010090817356205853,AL
AL_253,0.25024003914014004,AL
AL_254,0.2490881274774838,AL
AL_255,0.0019022754990848448,AL
AL_256,0.0,AL
AL_257,0.24910073471921007,AL
AL_258,0.25013855021059633,AL
AL_259,0.24907633192935788,AL
AL_260,0.0017577804734645178,AL
AL_261,0.24945152625517372,AL
AL_262,0.0021115025747499836,AL
AL_263,0.0,AL
AL_264,0.24867622840431938,AL
AL_265,0.2473181603672623,AL
AL_266,0.0015933121084807861,AL
AL_267,0.0009606147934678195,AL
AL_268,0.24821963204875092,AL
AL_269,0.0009606147934678195,AL
AL_270,0.24820151377882546,AL
AL_271,0.00204697154022235,AL
AL_272,0.0,AL
AL_273,0.24253533942639516,AL
AL_274,0.24647143156857157,AL
AL_275,0.0018584762791197626,AL
AL_276,0.0,AL
AL_277,0.24700441052507566,AL
AL_278,0.24830814506886506,AL
AL_279,0.0019094218250245425,AL
AL_280,0.0,AL
AL_281,0.24868237772453922,AL
AL_282,0.2483281607921377,AL
AL_283,0.001893947250918695,AL
AL_284,0.0,AL
AL_285,0.24984672925307605,AL
AL_286,0.24672791975867683,AL
AL_287,0.0032681292420522943,AL
AL_288,0.002040812063559703,AL
AL_289,0.24941192522737632,AL
AL_290,0.2495344450082068,AL
AL_291,0.001880562513541585,AL
AL_292,0.0,AL
AL_293,0.24862495402934587,AL
AL_294,0.2500002033488287,AL
AL_295,0.2500030054940431,AL
AL_296,0.0012687994797055096,AL
AL_297,0.24834458274863933,AL
AL_298,0.0014684065206528195,AL
AL_299,0.0,AL
AL_300,0.24977854511664502,AL
AL_301,0.23640120636921788,AL
AL_302,0.0013900929895269557,AL
AL_303,0.0,AL
AL_304,0.19269929057527918,AL
AL_305,0.25013975547300465,AL
AL_306,0.0011353610087581228,AL
AL_307,0.0,AL
AL_308,0.24942480124488317,AL
AL_309,0.0,AL
AL_310,0.249170796005687,AL
AL_311,0.0012956056177368515,AL
AL_312,0.0,AL
AL_313,0.2490771900839265,AL
AL_314,0.24947989057935413,AL
AL_315,0.0014171605628142798,AL
AL_316,0.0,AL
AL_317,0.24889349310837888,AL
AL_318,0.2500740165764962,AL
AL_319,0.001459640101705135,AL
AL_320,0.0,AL
AL_321,0.24866554416571635,AL
AL_322,0.2500447067238913,AL
AL_323,0.0013544668465377298,AL
AL_324,0.0,AL
AL_325,0.25011571152065976,AL
AL_326,0.24969306392084728,AL
AL_327,0.0021979186959980293,AL
AL_328,0.07745608973203015,AL
AL_329,0.2499005750597018,AL
AL_330,0.24957567051736776,AL
AL_331,0.001233877875317044,AL
AL_332,0.0,AL
AL_333,0.24941463561953503,AL
AL_334,0.2501498990154002,AL
EK_1,0.3531426773755159,EK
EK_2,4.52519578970011,EK
EK_3,6.2760199337384845,EK
EK_4,0.07055145433245397,EK
EK_5,0.09330336132361294,EK
EK_6,0.06718866349198367,EK
EK_7,10.06532221036922,EK
EK_8,0.11884591366817365,EK
EK_9,15.2555878607008,EK
