ozellik,spearman_r,auc,cliff_delta,ayrim_gucu,yon,anlamli
CAT_3,-0.064,0.459,-0.082,0.041,benign,hayir
AL_138,0.084,0.541,0.082,0.041,patojenik,EVET
AL_45,-0.065,0.46,-0.079,0.04,benign,hayir
AL_282,0.097,0.54,0.081,0.04,patojenik,EVET
AL_159,0.082,0.54,0.08,0.04,patojenik,EVET
AL_211,-0.072,0.46,-0.081,0.04,benign,EVET
AL_117,0.082,0.54,0.08,0.04,patojenik,EVET
AL_88,-0.068,0.46,-0.079,0.04,benign,hayir
AL_250,0.099,0.54,0.08,0.04,patojenik,EVET
CAT_4,-0.062,0.46,-0.079,0.04,benign,hayir
AL_255,-0.071,0.46,-0.079,0.04,benign,EVET
AL_108,0.081,0.539,0.078,0.039,patojenik,EVET
AL_206,0.094,0.539,0.079,0.039,patojenik,EVET
AL_23,-0.07,0.461,-0.078,0.039,benign,hayir
AL_295,0.076,0.538,0.076,0.038,patojenik,EVET
AL_27,0.177,0.538,0.075,0.038,patojenik,EVET
AL_46,-0.063,0.462,-0.077,0.038,benign,hayir
AL_283,-0.068,0.462,-0.076,0.038,benign,hayir
AL_219,-0.067,0.463,-0.075,0.037,benign,hayir
AL_141,0.077,0.537,0.075,0.037,patojenik,EVET
AL_323,-0.059,0.463,-0.073,0.037,benign,hayir
AL_223,0.085,0.537,0.073,0.037,patojenik,EVET
AL_84,0.083,0.537,0.074,0.037,patojenik,EVET
AL_29,0.178,0.537,0.075,0.037,patojenik,EVET
AL_70,-0.06,0.463,-0.073,0.037,benign,hayir
AL_174,0.076,0.537,0.074,0.037,patojenik,EVET
AL_12,-0.057,0.464,-0.072,0.036,benign,hayir
AL_112,-0.059,0.464,-0.072,0.036,benign,hayir
AL_150,0.074,0.536,0.072,0.036,patojenik,EVET
AL_111,0.075,0.536,0.072,0.036,patojenik,EVET
AL_55,-0.059,0.464,-0.072,0.036,benign,hayir
AL_121,-0.059,0.464,-0.072,0.036,benign,hayir
AL_114,0.072,0.535,0.07,0.035,patojenik,EVET
AL_234,0.084,0.535,0.071,0.035,patojenik,EVET
AL_109,-0.057,0.465,-0.07,0.035,benign,hayir
EK_1,0.054,0.535,0.071,0.035,patojenik,hayir
AL_126,0.072,0.535,0.069,0.035,patojenik,EVET
AL_75,0.077,0.535,0.07,0.035,patojenik,EVET
AL_61,-0.055,0.466,-0.067,0.034,benign,hayir
AL_169,-0.056,0.466,-0.068,0.034,benign,hayir
AL_297,0.066,0.533,0.065,0.033,patojenik,hayir
AL_177,0.068,0.533,0.066,0.033,patojenik,hayir
AL_52,-0.054,0.467,-0.067,0.033,benign,hayir
AL_156,0.067,0.533,0.065,0.033,patojenik,hayir
AL_243,-0.057,0.468,-0.063,0.032,benign,hayir
AL_207,-0.058,0.468,-0.065,0.032,benign,hayir
AL_275,-0.053,0.47,-0.059,0.03,benign,hayir
AL_81,0.066,0.53,0.06,0.03,patojenik,hayir
AL_58,-0.05,0.47,-0.061,0.03,benign,hayir
AL_99,0.061,0.53,0.06,0.03,patojenik,hayir
AL_86,0.07,0.53,0.06,0.03,patojenik,EVET
AL_120,0.061,0.53,0.059,0.03,patojenik,hayir
AL_102,0.061,0.53,0.059,0.03,patojenik,hayir
AL_147,0.063,0.53,0.061,0.03,patojenik,hayir
AL_145,-0.049,0.47,-0.06,0.03,benign,hayir
AL_168,0.061,0.53,0.06,0.03,patojenik,hayir
AL_203,-0.054,0.47,-0.06,0.03,benign,hayir
AL_11,-0.046,0.471,-0.059,0.029,benign,hayir
AL_106,-0.048,0.471,-0.058,0.029,benign,hayir
AL_148,-0.046,0.472,-0.056,0.028,benign,hayir
AL_162,0.057,0.528,0.056,0.028,patojenik,hayir
AL_97,-0.048,0.472,-0.056,0.028,benign,hayir
AL_163,-0.045,0.472,-0.055,0.028,benign,hayir
AL_202,-0.049,0.473,-0.054,0.027,benign,hayir
AL_133,-0.043,0.474,-0.052,0.026,benign,hayir
AL_171,0.05,0.525,0.049,0.025,patojenik,hayir
AL_180,0.052,0.525,0.05,0.025,patojenik,hayir
AL_85,-0.042,0.476,-0.049,0.024,benign,hayir
AL_98,0.057,0.524,0.049,0.024,patojenik,hayir
AA_2,-0.037,0.476,-0.048,0.024,benign,hayir
AL_93,0.053,0.524,0.047,0.024,patojenik,hayir
AL_135,0.049,0.523,0.046,0.023,patojenik,hayir
AL_51,-0.038,0.477,-0.046,0.023,benign,hayir
AL_20,-0.041,0.477,-0.046,0.023,benign,hayir
AL_311,-0.036,0.477,-0.045,0.023,benign,hayir
AL_315,-0.037,0.477,-0.047,0.023,benign,hayir
AL_199,-0.042,0.477,-0.047,0.023,benign,hayir
AL_247,-0.038,0.479,-0.042,0.021,benign,hayir
AL_144,0.044,0.521,0.043,0.021,patojenik,hayir
AL_130,-0.034,0.479,-0.041,0.021,benign,hayir
AL_83,-0.06,0.479,-0.041,0.021,benign,hayir
AL_123,0.042,0.52,0.041,0.02,patojenik,hayir
AL_291,-0.034,0.481,-0.038,0.019,benign,hayir
AL_165,0.039,0.519,0.037,0.019,patojenik,hayir
AL_328,0.073,0.518,0.035,0.018,patojenik,EVET
AL_271,-0.031,0.483,-0.035,0.017,benign,hayir
AL_239,-0.03,0.483,-0.033,0.017,benign,hayir
AL_95,0.103,0.516,0.031,0.016,patojenik,EVET
CAT_6,-0.093,0.484,-0.032,0.016,benign,EVET
AL_279,-0.029,0.484,-0.033,0.016,benign,hayir
AL_69,-0.025,0.485,-0.03,0.015,benign,hayir
CAT_1,-0.024,0.485,-0.031,0.015,benign,hayir
AL_205,-0.027,0.485,-0.03,0.015,benign,hayir
AL_129,-0.025,0.485,-0.03,0.015,benign,hayir
AL_277,-0.025,0.486,-0.028,0.014,benign,hayir
AL_235,-0.025,0.486,-0.028,0.014,benign,hayir
AL_25,-0.024,0.486,-0.027,0.014,benign,hayir
AL_281,-0.023,0.487,-0.026,0.013,benign,hayir
AL_65,-0.057,0.487,-0.027,0.013,benign,hayir
AL_302,-0.021,0.487,-0.026,0.013,benign,hayir
AL_198,-0.024,0.487,-0.026,0.013,benign,hayir
AL_2,-0.036,0.488,-0.024,0.012,benign,hayir
AL_77,-0.033,0.489,-0.022,0.011,benign,hayir
AL_48,-0.018,0.489,-0.021,0.011,benign,hayir
AL_68,0.032,0.511,0.021,0.011,patojenik,hayir
AL_1,-0.028,0.49,-0.019,0.01,benign,hayir
AL_54,-0.02,0.49,-0.02,0.01,benign,hayir
AL_92,-0.029,0.49,-0.021,0.01,benign,hayir
AL_66,-0.015,0.491,-0.018,0.009,benign,hayir
AL_74,-0.042,0.492,-0.016,0.008,benign,hayir
AL_237,0.014,0.508,0.015,0.008,patojenik,hayir
AL_57,-0.013,0.492,-0.016,0.008,benign,hayir
AL_313,-0.013,0.492,-0.015,0.008,benign,hayir
AL_21,-0.015,0.492,-0.017,0.008,benign,hayir
AL_317,0.012,0.507,0.014,0.007,patojenik,hayir
AL_32,-0.021,0.493,-0.013,0.007,benign,hayir
AL_30,-0.022,0.493,-0.014,0.007,benign,hayir
AL_89,0.03,0.507,0.014,0.007,patojenik,hayir
AL_33,-0.021,0.493,-0.013,0.007,benign,hayir
AL_31,-0.021,0.493,-0.013,0.007,benign,hayir
AL_209,0.013,0.507,0.015,0.007,patojenik,hayir
AL_63,0.013,0.506,0.013,0.006,patojenik,hayir
AL_319,-0.01,0.494,-0.012,0.006,benign,hayir
AL_4,0.017,0.506,0.012,0.006,patojenik,hayir
AL_72,0.011,0.506,0.011,0.006,patojenik,hayir
AL_50,0.02,0.506,0.013,0.006,patojenik,hayir
AL_18,-0.009,0.495,-0.01,0.005,benign,hayir
AL_36,-0.016,0.495,-0.01,0.005,benign,hayir
AL_71,0.019,0.505,0.009,0.005,patojenik,hayir
AL_38,-0.016,0.495,-0.01,0.005,benign,hayir
AL_62,-0.038,0.495,-0.01,0.005,benign,hayir
AL_242,-0.009,0.495,-0.01,0.005,benign,hayir
AL_60,0.008,0.504,0.008,0.004,patojenik,hayir
AL_5,0.013,0.504,0.009,0.004,patojenik,hayir
AL_59,0.02,0.504,0.007,0.004,patojenik,hayir
AL_53,0.009,0.503,0.006,0.003,patojenik,hayir
AL_6,-0.007,0.497,-0.005,0.003,benign,hayir
AL_67,-0.006,0.497,-0.007,0.003,benign,hayir
AL_44,-0.034,0.497,-0.006,0.003,benign,hayir
AL_56,-0.01,0.497,-0.005,0.003,benign,hayir
AL_105,0.005,0.503,0.006,0.003,patojenik,hayir
AL_304,-0.004,0.498,-0.004,0.002,benign,hayir
AL_201,0.003,0.502,0.003,0.002,patojenik,hayir
AL_41,-0.018,0.498,-0.003,0.002,benign,hayir
AL_240,0.031,0.501,0.001,0.001,patojenik,hayir
AL_227,0.031,0.501,0.001,0.001,patojenik,hayir
AL_200,0.031,0.501,0.001,0.001,patojenik,hayir
AL_204,0.031,0.501,0.001,0.001,patojenik,hayir
AL_216,0.031,0.501,0.001,0.001,patojenik,hayir
AL_3,-0.003,0.499,-0.002,0.001,benign,hayir
AL_252,0.031,0.501,0.001,0.001,patojenik,hayir
AL_267,0.031,0.501,0.001,0.001,patojenik,hayir
AL_269,0.031,0.501,0.001,0.001,patojenik,hayir
AL_49,0.001,0.501,0.001,0.001,patojenik,hayir
AL_28,0.004,0.501,0.002,0.001,patojenik,hayir
AL_288,0.043,0.501,0.003,0.001,patojenik,hayir
AL_301,-0.002,0.499,-0.002,0.001,benign,hayir
AL_47,0.004,0.5,0.001,0.0,patojenik,hayir
AL_39,-0.0,0.5,-0.0,0.0,benign,hayir
AL_34,0.001,0.5,0.0,0.0,patojenik,hayir
