ozellik,spearman_r,auc,cliff_delta,ayrim_gucu,yon,anlamli
AL_225,0.203,0.574,0.148,0.074,patojenik,EVET
AL_329,-0.161,0.427,-0.147,0.073,benign,hayir
AL_144,0.164,0.572,0.144,0.072,patojenik,hayir
AL_178,-0.125,0.428,-0.144,0.072,benign,hayir
AL_278,0.202,0.571,0.141,0.071,patojenik,EVET
AL_172,-0.124,0.429,-0.142,0.071,benign,hayir
AL_234,0.199,0.571,0.143,0.071,patojenik,EVET
AL_183,0.203,0.571,0.142,0.071,patojenik,EVET
AL_16,-0.137,0.43,-0.141,0.07,benign,hayir
AL_305,0.151,0.57,0.14,0.07,patojenik,hayir
AL_289,-0.213,0.43,-0.14,0.07,benign,EVET
AL_121,-0.12,0.431,-0.138,0.069,benign,hayir
AL_126,0.154,0.568,0.137,0.068,patojenik,hayir
AL_295,0.146,0.568,0.136,0.068,patojenik,hayir
AL_108,0.148,0.567,0.134,0.067,patojenik,hayir
AL_31,0.31,0.567,0.133,0.067,patojenik,EVET
AL_35,0.31,0.567,0.133,0.067,patojenik,EVET
AL_215,-0.147,0.433,-0.135,0.067,benign,hayir
AL_114,0.151,0.566,0.131,0.066,patojenik,hayir
AL_98,0.167,0.565,0.13,0.065,patojenik,hayir
AL_189,0.182,0.565,0.131,0.065,patojenik,hayir
AL_177,0.145,0.564,0.128,0.064,patojenik,hayir
AL_55,-0.106,0.436,-0.128,0.064,benign,hayir
AL_145,-0.11,0.437,-0.127,0.063,benign,hayir
AL_180,0.14,0.563,0.125,0.063,patojenik,hayir
AL_13,-0.104,0.438,-0.124,0.062,benign,hayir
AL_132,0.14,0.562,0.125,0.062,patojenik,hayir
AL_14,-0.104,0.438,-0.124,0.062,benign,hayir
AL_102,0.135,0.561,0.122,0.061,patojenik,hayir
AL_136,-0.105,0.439,-0.121,0.061,benign,hayir
AL_115,-0.105,0.439,-0.121,0.061,benign,hayir
AL_162,0.135,0.561,0.122,0.061,patojenik,hayir
AL_147,0.133,0.56,0.12,0.06,patojenik,hayir
AL_230,-0.117,0.441,-0.118,0.059,benign,hayir
AL_151,-0.099,0.443,-0.115,0.057,benign,hayir
AL_188,-0.114,0.443,-0.115,0.057,benign,hayir
AL_75,0.152,0.556,0.111,0.056,patojenik,hayir
AL_163,-0.097,0.444,-0.111,0.056,benign,hayir
AL_81,0.15,0.556,0.112,0.056,patojenik,hayir
AL_181,-0.094,0.446,-0.108,0.054,benign,hayir
AL_157,-0.094,0.446,-0.108,0.054,benign,hayir
AL_100,-0.093,0.447,-0.107,0.053,benign,hayir
AL_118,-0.09,0.448,-0.104,0.052,benign,hayir
AL_148,-0.09,0.448,-0.104,0.052,benign,hayir
AL_43,-0.083,0.449,-0.101,0.051,benign,hayir
AL_203,0.098,0.55,0.1,0.05,patojenik,hayir
AL_226,-0.099,0.45,-0.1,0.05,benign,hayir
AL_322,0.108,0.55,0.099,0.05,patojenik,hayir
AL_166,-0.086,0.45,-0.099,0.05,benign,hayir
AL_296,-0.084,0.451,-0.098,0.049,benign,hayir
AL_27,0.226,0.549,0.097,0.049,patojenik,EVET
AL_117,-0.108,0.451,-0.099,0.049,benign,hayir
AL_331,-0.082,0.452,-0.097,0.048,benign,hayir
AL_21,-0.093,0.452,-0.096,0.048,benign,hayir
AL_123,0.112,0.548,0.095,0.048,patojenik,hayir
AL_86,0.124,0.546,0.092,0.046,patojenik,hayir
AL_84,0.126,0.546,0.092,0.046,patojenik,hayir
AL_68,0.197,0.545,0.09,0.045,patojenik,EVET
AL_159,0.102,0.545,0.09,0.045,patojenik,hayir
AL_124,-0.078,0.455,-0.089,0.045,benign,hayir
AL_50,0.152,0.544,0.089,0.044,patojenik,hayir
AL_260,-0.087,0.456,-0.088,0.044,benign,hayir
AL_25,-0.081,0.458,-0.083,0.042,benign,hayir
AL_88,-0.077,0.459,-0.082,0.041,benign,hayir
AL_130,-0.072,0.459,-0.083,0.041,benign,hayir
AL_251,-0.083,0.459,-0.081,0.041,benign,hayir
AL_97,-0.076,0.459,-0.081,0.041,benign,hayir
AL_45,-0.066,0.46,-0.079,0.04,benign,hayir
AL_33,0.199,0.54,0.08,0.04,patojenik,EVET
AL_53,0.132,0.539,0.077,0.039,patojenik,hayir
AL_17,-0.073,0.462,-0.075,0.038,benign,hayir
AL_174,-0.065,0.463,-0.074,0.037,benign,hayir
AL_51,-0.071,0.464,-0.072,0.036,benign,hayir
AL_99,0.082,0.536,0.072,0.036,patojenik,hayir
AL_199,0.072,0.536,0.073,0.036,patojenik,hayir
AL_70,-0.059,0.464,-0.072,0.036,benign,hayir
AL_211,-0.07,0.465,-0.071,0.035,benign,hayir
AL_76,-0.065,0.465,-0.069,0.035,benign,hayir
AL_12,-0.058,0.465,-0.069,0.035,benign,hayir
AL_283,-0.068,0.465,-0.069,0.035,benign,hayir
AA_1,-0.055,0.466,-0.068,0.034,benign,hayir
AL_306,-0.057,0.467,-0.067,0.033,benign,hayir
AL_328,0.144,0.533,0.066,0.033,patojenik,hayir
AL_266,-0.066,0.467,-0.066,0.033,benign,hayir
AL_57,-0.062,0.469,-0.062,0.031,benign,hayir
AL_142,-0.054,0.469,-0.062,0.031,benign,hayir
AL_82,-0.058,0.469,-0.062,0.031,benign,hayir
AL_255,-0.059,0.47,-0.06,0.03,benign,hayir
AL_262,-0.06,0.47,-0.061,0.03,benign,hayir
AL_11,-0.051,0.47,-0.061,0.03,benign,hayir
AL_7,-0.049,0.471,-0.058,0.029,benign,hayir
AL_91,-0.055,0.471,-0.059,0.029,benign,hayir
AL_19,-0.057,0.471,-0.058,0.029,benign,hayir
AL_302,0.049,0.528,0.057,0.028,patojenik,hayir
AL_95,0.178,0.527,0.055,0.027,patojenik,hayir
AL_275,-0.053,0.473,-0.054,0.027,benign,hayir
AL_175,-0.044,0.474,-0.051,0.026,benign,hayir
AL_291,-0.051,0.474,-0.052,0.026,benign,hayir
AL_133,-0.044,0.475,-0.05,0.025,benign,hayir
AL_109,-0.044,0.475,-0.051,0.025,benign,hayir
AL_224,-0.05,0.475,-0.051,0.025,benign,hayir
AL_207,0.046,0.523,0.047,0.023,patojenik,hayir
AL_6,0.066,0.523,0.045,0.023,patojenik,hayir
AL_83,0.074,0.523,0.047,0.023,patojenik,hayir
AL_300,-0.04,0.477,-0.047,0.023,benign,hayir
AL_239,-0.046,0.477,-0.047,0.023,benign,hayir
AL_20,-0.044,0.477,-0.046,0.023,benign,hayir
AL_23,-0.043,0.478,-0.045,0.022,benign,hayir
AL_72,-0.045,0.478,-0.044,0.022,benign,hayir
AL_69,0.04,0.52,0.04,0.02,patojenik,hayir
AL_243,-0.039,0.48,-0.039,0.02,benign,hayir
AL_287,-0.041,0.48,-0.041,0.02,benign,hayir
AL_65,-0.1,0.48,-0.04,0.02,benign,hayir
AL_139,-0.035,0.48,-0.04,0.02,benign,hayir
AL_194,-0.039,0.48,-0.039,0.02,benign,hayir
AL_52,-0.031,0.481,-0.038,0.019,benign,hayir
AL_279,-0.037,0.481,-0.037,0.019,benign,hayir
AL_58,-0.03,0.482,-0.037,0.018,benign,hayir
AL_49,-0.03,0.482,-0.036,0.018,benign,hayir
AL_54,0.034,0.517,0.034,0.017,patojenik,hayir
AL_5,0.049,0.517,0.034,0.017,patojenik,hayir
AL_22,-0.032,0.484,-0.033,0.016,benign,hayir
AL_85,-0.03,0.484,-0.032,0.016,benign,hayir
AL_15,0.026,0.515,0.031,0.015,patojenik,hayir
AL_71,0.068,0.514,0.028,0.014,patojenik,hayir
AL_92,0.042,0.513,0.026,0.013,patojenik,hayir
AL_39,0.027,0.513,0.026,0.013,patojenik,hayir
AL_34,0.038,0.512,0.024,0.012,patojenik,hayir
AL_2,0.035,0.512,0.024,0.012,patojenik,hayir
AL_3,0.035,0.512,0.024,0.012,patojenik,hayir
AL_29,0.036,0.511,0.023,0.011,patojenik,hayir
AL_36,0.036,0.511,0.023,0.011,patojenik,hayir
AL_1,0.033,0.511,0.023,0.011,patojenik,hayir
AL_273,0.022,0.511,0.022,0.011,patojenik,hayir
AL_38,0.036,0.511,0.023,0.011,patojenik,hayir
AL_298,-0.019,0.489,-0.022,0.011,benign,hayir
CAT_6,-0.097,0.489,-0.021,0.011,benign,hayir
AL_9,-0.018,0.489,-0.022,0.011,benign,hayir
AL_190,-0.022,0.489,-0.023,0.011,benign,hayir
AL_74,0.072,0.509,0.018,0.009,patojenik,hayir
AL_18,-0.018,0.491,-0.018,0.009,benign,hayir
AL_56,-0.058,0.491,-0.018,0.009,benign,hayir
AL_271,0.018,0.509,0.018,0.009,patojenik,hayir
AL_63,-0.017,0.492,-0.016,0.008,benign,hayir
AL_48,0.017,0.508,0.016,0.008,patojenik,hayir
AL_311,0.014,0.508,0.016,0.008,patojenik,hayir
AL_59,0.108,0.508,0.017,0.008,patojenik,hayir
AL_62,0.108,0.508,0.017,0.008,patojenik,hayir
AL_235,0.014,0.507,0.014,0.007,patojenik,hayir
AL_112,0.013,0.507,0.015,0.007,patojenik,hayir
AL_301,-0.012,0.493,-0.014,0.007,benign,hayir
AL_42,0.013,0.506,0.013,0.006,patojenik,hayir
AL_219,-0.013,0.494,-0.013,0.006,benign,hayir
AL_154,0.008,0.504,0.009,0.004,patojenik,hayir
AL_66,0.006,0.504,0.007,0.004,patojenik,hayir
AL_24,-0.008,0.496,-0.009,0.004,benign,hayir
AL_89,0.02,0.504,0.009,0.004,patojenik,hayir
AL_41,0.076,0.504,0.008,0.004,patojenik,hayir
AL_247,-0.006,0.497,-0.006,0.003,benign,hayir
AL_106,0.005,0.503,0.006,0.003,patojenik,hayir
AL_46,0.005,0.503,0.006,0.003,patojenik,hayir
AL_319,-0.005,0.497,-0.006,0.003,benign,hayir
AL_10,-0.006,0.497,-0.007,0.003,benign,hayir
CAT_3,-0.003,0.498,-0.003,0.002,benign,hayir
CAT_5,-0.003,0.498,-0.003,0.002,benign,hayir
AL_77,-0.007,0.498,-0.004,0.002,benign,hayir
CAT_4,-0.003,0.498,-0.003,0.002,benign,hayir
AL_315,0.003,0.502,0.003,0.002,patojenik,hayir
AL_30,0.002,0.501,0.001,0.001,patojenik,hayir
AL_4,0.002,0.501,0.002,0.001,patojenik,hayir
AL_37,0.0,0.5,0.0,0.0,patojenik,hayir
AL_32,0.0,0.5,0.0,0.0,patojenik,hayir
AL_28,0.0,0.5,0.0,0.0,patojenik,hayir
