feature1,feature2,spearman_r,p_value
AL_140,AL_167,1.0,0.0
AL_137,AL_143,1.0,0.0
AL_134,AL_173,1.0,0.0
AL_137,AL_179,1.0,0.0
AL_134,AL_176,1.0,0.0
AL_134,AL_179,1.0,0.0
AL_134,AL_182,1.0,0.0
AL_137,AL_140,1.0,0.0
AL_137,AL_176,1.0,0.0
AL_137,AL_146,1.0,0.0
AL_134,AL_137,1.0,0.0
AL_137,AL_173,1.0,0.0
AL_137,AL_149,1.0,0.0
AL_137,AL_152,1.0,0.0
AL_137,AL_155,1.0,0.0
AL_137,AL_170,1.0,0.0
AL_137,AL_158,1.0,0.0
AL_137,AL_167,1.0,0.0
AL_220,AL_292,1.0,0.0
AL_134,AL_170,1.0,0.0
AL_137,AL_182,1.0,0.0
AL_134,AL_167,1.0,0.0
AL_134,AL_140,1.0,0.0
AL_220,AL_272,1.0,0.0
AL_134,AL_143,1.0,0.0
AL_134,AL_146,1.0,0.0
AL_134,AL_149,1.0,0.0
AL_140,AL_146,1.0,0.0
AL_134,AL_152,1.0,0.0
AL_220,AL_276,1.0,0.0
AL_220,AL_280,1.0,0.0
AL_134,AL_155,1.0,0.0
AL_134,AL_158,1.0,0.0
AL_220,AL_284,1.0,0.0
AL_134,AL_161,1.0,0.0
AL_134,AL_164,1.0,0.0
AL_140,AL_143,1.0,0.0
AL_140,AL_164,1.0,0.0
AL_140,AL_170,1.0,0.0
AL_146,AL_182,1.0,0.0
AL_231,AL_256,1.0,0.0
AL_231,AL_272,1.0,0.0
AL_212,AL_231,1.0,0.0
AL_212,AL_233,1.0,0.0
AL_212,AL_236,1.0,0.0
AL_231,AL_263,1.0,0.0
AL_212,AL_244,1.0,0.0
AL_212,AL_248,1.0,0.0
AL_146,AL_158,1.0,0.0
AL_231,AL_233,1.0,0.0
AL_125,AL_170,1.0,0.0
AL_146,AL_155,1.0,0.0
AL_231,AL_248,1.0,0.0
AL_212,AL_256,1.0,0.0
AL_231,AL_244,1.0,0.0
AL_212,AL_263,1.0,0.0
AL_231,AL_236,1.0,0.0
AL_231,AL_276,1.0,0.0
AL_212,AL_220,1.0,0.0
AL_231,AL_280,1.0,0.0
AL_146,AL_161,1.0,0.0
AL_125,AL_158,1.0,0.0
AL_125,AL_161,1.0,0.0
AL_233,AL_248,1.0,0.0
AL_146,AL_179,1.0,0.0
AL_233,AL_244,1.0,0.0
AL_146,AL_176,1.0,0.0
AL_146,AL_173,1.0,0.0
AL_146,AL_170,1.0,0.0
AL_233,AL_236,1.0,0.0
AL_146,AL_167,1.0,0.0
AL_231,AL_292,1.0,0.0
AL_146,AL_164,1.0,0.0
AL_125,AL_164,1.0,0.0
AL_125,AL_167,1.0,0.0
AL_231,AL_284,1.0,0.0
AL_212,AL_272,1.0,0.0
AL_146,AL_152,1.0,0.0
AL_128,AL_161,1.0,0.0
AL_143,AL_146,1.0,0.0
AL_128,AL_134,1.0,0.0
AL_143,AL_152,1.0,0.0
AL_128,AL_137,1.0,0.0
AL_128,AL_140,1.0,0.0
AL_128,AL_143,1.0,0.0
AL_143,AL_149,1.0,0.0
AL_128,AL_146,1.0,0.0
AL_140,AL_182,1.0,0.0
AL_212,AL_276,1.0,0.0
AL_140,AL_179,1.0,0.0
AL_128,AL_149,1.0,0.0
AL_128,AL_152,1.0,0.0
AL_128,AL_155,1.0,0.0
AL_140,AL_176,1.0,0.0
AL_128,AL_158,1.0,0.0
AL_140,AL_173,1.0,0.0
AL_143,AL_155,1.0,0.0
AL_128,AL_131,1.0,0.0
AL_143,AL_158,1.0,0.0
AL_143,AL_161,1.0,0.0
AL_125,AL_173,1.0,0.0
AL_212,AL_280,1.0,0.0
AL_212,AL_284,1.0,0.0
AL_146,AL_149,1.0,0.0
AL_125,AL_176,1.0,0.0
AL_143,AL_182,1.0,0.0
AL_125,AL_179,1.0,0.0
AL_212,AL_292,1.0,0.0
AL_125,AL_182,1.0,0.0
AL_143,AL_179,1.0,0.0
AL_143,AL_176,1.0,0.0
AL_143,AL_173,1.0,0.0
AL_143,AL_170,1.0,0.0
AL_143,AL_167,1.0,0.0
AL_143,AL_164,1.0,0.0
AL_244,AL_280,1.0,0.0
AL_204,AL_269,1.0,0.0
AL_116,AL_140,1.0,0.0
AL_197,AL_248,1.0,0.0
AL_197,AL_256,1.0,0.0
AL_101,AL_179,1.0,0.0
AL_197,AL_263,1.0,0.0
AL_101,AL_182,1.0,0.0
AL_104,AL_107,1.0,0.0
AL_104,AL_110,1.0,0.0
AL_104,AL_113,1.0,0.0
AL_197,AL_272,1.0,0.0
AL_104,AL_116,1.0,0.0
AL_197,AL_276,1.0,0.0
AL_104,AL_119,1.0,0.0
AL_197,AL_280,1.0,0.0
AL_197,AL_284,1.0,0.0
AL_191,AL_292,1.0,0.0
AL_104,AL_122,1.0,0.0
AL_101,AL_176,1.0,0.0
AL_101,AL_173,1.0,0.0
AL_104,AL_125,1.0,0.0
AL_101,AL_170,1.0,0.0
AL_101,AL_146,1.0,0.0
AL_101,AL_149,1.0,0.0
AL_101,AL_152,1.0,0.0
AL_101,AL_155,1.0,0.0
AL_101,AL_158,1.0,0.0
AL_272,AL_292,1.0,0.0
AL_197,AL_233,1.0,0.0
AL_101,AL_161,1.0,0.0
AL_101,AL_164,1.0,0.0
AL_272,AL_284,1.0,0.0
AL_197,AL_236,1.0,0.0
AL_272,AL_280,1.0,0.0
AL_272,AL_276,1.0,0.0
AL_101,AL_167,1.0,0.0
AL_197,AL_244,1.0,0.0
AL_197,AL_292,1.0,0.0
AL_104,AL_128,1.0,0.0
AL_101,AL_140,1.0,0.0
AL_104,AL_158,1.0,0.0
AL_104,AL_164,1.0,0.0
AL_263,AL_292,1.0,0.0
AL_104,AL_167,1.0,0.0
AL_104,AL_170,1.0,0.0
AL_263,AL_284,1.0,0.0
AL_191,AL_236,1.0,0.0
AL_263,AL_280,1.0,0.0
AL_191,AL_233,1.0,0.0
AL_104,AL_173,1.0,0.0
AL_263,AL_272,1.0,0.0
AL_191,AL_231,1.0,0.0
AL_200,AL_204,1.0,0.0
AL_191,AL_220,1.0,0.0
AL_104,AL_176,1.0,0.0
AL_104,AL_179,1.0,0.0
AL_104,AL_161,1.0,0.0
AL_191,AL_244,1.0,0.0
AL_104,AL_131,1.0,0.0
AL_104,AL_155,1.0,0.0
AL_191,AL_284,1.0,0.0
AL_104,AL_134,1.0,0.0
AL_191,AL_280,1.0,0.0
AL_104,AL_137,1.0,0.0
AL_191,AL_276,1.0,0.0
AL_191,AL_272,1.0,0.0
AL_104,AL_140,1.0,0.0
AL_267,AL_269,1.0,0.0
AL_104,AL_143,1.0,0.0
AL_104,AL_146,1.0,0.0
AL_191,AL_263,1.0,0.0
AL_104,AL_149,1.0,0.0
AL_191,AL_256,1.0,0.0
AL_104,AL_152,1.0,0.0
AL_191,AL_248,1.0,0.0
AL_101,AL_143,1.0,0.0
AL_101,AL_137,1.0,0.0
AL_107,AL_110,1.0,0.0
AL_309,AL_320,1.0,0.0
AL_309,AL_312,1.0,0.0
AL_307,AL_332,1.0,0.0
AL_307,AL_324,1.0,0.0
AL_307,AL_320,1.0,0.0
AL_307,AL_316,1.0,0.0
AL_307,AL_312,1.0,0.0
AL_307,AL_309,1.0,0.0
AL_303,AL_332,1.0,0.0
AL_303,AL_324,1.0,0.0
AL_303,AL_320,1.0,0.0
AL_195,AL_233,1.0,0.0
AL_195,AL_236,1.0,0.0
AL_303,AL_316,1.0,0.0
AL_303,AL_312,1.0,0.0
AL_303,AL_309,1.0,0.0
AL_309,AL_316,1.0,0.0
AL_195,AL_231,1.0,0.0
AL_299,AL_332,1.0,0.0
AL_195,AL_220,1.0,0.0
AL_195,AL_197,1.0,0.0
AL_195,AL_208,1.0,0.0
AL_324,AL_332,1.0,0.0
AL_320,AL_332,1.0,0.0
AL_320,AL_324,1.0,0.0
AL_316,AL_332,1.0,0.0
AL_316,AL_324,1.0,0.0
AL_316,AL_320,1.0,0.0
AL_312,AL_332,1.0,0.0
AL_312,AL_324,1.0,0.0
AL_312,AL_320,1.0,0.0
AL_312,AL_316,1.0,0.0
AL_309,AL_332,1.0,0.0
AL_309,AL_324,1.0,0.0
AL_195,AL_212,1.0,0.0
AL_303,AL_307,1.0,0.0
AL_299,AL_324,1.0,0.0
AL_197,AL_231,1.0,0.0
AL_195,AL_280,1.0,0.0
AL_280,AL_292,1.0,0.0
AL_195,AL_292,1.0,0.0
AL_101,AL_119,1.0,0.0
AL_101,AL_122,1.0,0.0
AL_280,AL_284,1.0,0.0
AL_101,AL_125,1.0,0.0
AL_197,AL_208,1.0,0.0
AL_101,AL_128,1.0,0.0
AL_197,AL_212,1.0,0.0
AL_276,AL_292,1.0,0.0
AL_197,AL_220,1.0,0.0
AL_101,AL_131,1.0,0.0
AL_101,AL_134,1.0,0.0
AL_276,AL_284,1.0,0.0
AL_276,AL_280,1.0,0.0
AL_195,AL_284,1.0,0.0
AL_101,AL_116,1.0,0.0
AL_299,AL_320,1.0,0.0
AL_195,AL_276,1.0,0.0
AL_299,AL_316,1.0,0.0
AL_299,AL_312,1.0,0.0
AL_299,AL_309,1.0,0.0
AL_299,AL_307,1.0,0.0
AL_299,AL_303,1.0,0.0
AL_195,AL_244,1.0,0.0
AL_195,AL_248,1.0,0.0
AL_195,AL_256,1.0,0.0
AL_195,AL_263,1.0,0.0
AL_101,AL_104,1.0,0.0
AL_101,AL_107,1.0,0.0
AL_284,AL_292,1.0,0.0
AL_101,AL_110,1.0,0.0
AL_101,AL_113,1.0,0.0
AL_195,AL_272,1.0,0.0
AL_104,AL_182,1.0,0.0
AL_263,AL_276,1.0,0.0
AL_110,AL_155,1.0,0.0
AL_113,AL_134,1.0,0.0
AL_110,AL_182,1.0,0.0
AL_113,AL_116,1.0,0.0
AL_113,AL_119,1.0,0.0
AL_113,AL_122,1.0,0.0
AL_113,AL_125,1.0,0.0
AL_113,AL_128,1.0,0.0
AL_113,AL_131,1.0,0.0
AL_113,AL_137,1.0,0.0
AL_110,AL_122,1.0,0.0
AL_113,AL_140,1.0,0.0
AL_113,AL_143,1.0,0.0
AL_113,AL_146,1.0,0.0
AL_113,AL_149,1.0,0.0
AL_113,AL_152,1.0,0.0
AL_113,AL_155,1.0,0.0
AL_248,AL_292,1.0,0.0
AL_110,AL_179,1.0,0.0
AL_110,AL_176,1.0,0.0
AL_110,AL_173,1.0,0.0
AL_110,AL_170,1.0,0.0
AL_176,AL_182,1.0,0.0
AL_110,AL_128,1.0,0.0
AL_110,AL_131,1.0,0.0
AL_110,AL_134,1.0,0.0
AL_110,AL_137,1.0,0.0
AL_110,AL_140,1.0,0.0
AL_110,AL_143,1.0,0.0
AL_110,AL_146,1.0,0.0
AL_110,AL_149,1.0,0.0
AL_110,AL_152,1.0,0.0
AL_191,AL_212,1.0,0.0
AL_110,AL_158,1.0,0.0
AL_110,AL_161,1.0,0.0
AL_110,AL_164,1.0,0.0
AL_110,AL_167,1.0,0.0
AL_176,AL_179,1.0,0.0
AL_113,AL_158,1.0,0.0
AL_113,AL_161,1.0,0.0
AL_113,AL_179,1.0,0.0
AL_170,AL_173,1.0,0.0
AL_113,AL_182,1.0,0.0
AL_167,AL_182,1.0,0.0
AL_167,AL_179,1.0,0.0
AL_116,AL_119,1.0,0.0
AL_116,AL_122,1.0,0.0
AL_167,AL_176,1.0,0.0
AL_116,AL_125,1.0,0.0
AL_116,AL_128,1.0,0.0
AL_116,AL_131,1.0,0.0
AL_116,AL_134,1.0,0.0
AL_167,AL_173,1.0,0.0
AL_244,AL_292,1.0,0.0
AL_167,AL_170,1.0,0.0
AL_116,AL_137,1.0,0.0
AL_170,AL_176,1.0,0.0
AL_204,AL_240,1.0,0.0
AL_248,AL_284,1.0,0.0
AL_113,AL_176,1.0,0.0
AL_248,AL_280,1.0,0.0
AL_173,AL_182,1.0,0.0
AL_248,AL_276,1.0,0.0
AL_113,AL_164,1.0,0.0
AL_248,AL_272,1.0,0.0
AL_173,AL_179,1.0,0.0
AL_204,AL_227,1.0,0.0
AL_173,AL_176,1.0,0.0
AL_248,AL_263,1.0,0.0
AL_170,AL_182,1.0,0.0
AL_248,AL_256,1.0,0.0
AL_113,AL_167,1.0,0.0
AL_113,AL_170,1.0,0.0
AL_170,AL_179,1.0,0.0
AL_113,AL_173,1.0,0.0
AL_110,AL_125,1.0,0.0
AL_137,AL_161,1.0,0.0
AL_107,AL_158,1.0,0.0
AL_107,AL_122,1.0,0.0
AL_107,AL_125,1.0,0.0
AL_191,AL_208,1.0,0.0
AL_107,AL_146,1.0,0.0
AL_256,AL_272,1.0,0.0
AL_107,AL_164,1.0,0.0
AL_256,AL_276,1.0,0.0
AL_107,AL_128,1.0,0.0
AL_256,AL_280,1.0,0.0
AL_200,AL_240,1.0,0.0
AL_107,AL_131,1.0,0.0
AL_256,AL_284,1.0,0.0
AL_107,AL_161,1.0,0.0
AL_107,AL_134,1.0,0.0
AL_191,AL_197,1.0,0.0
AL_107,AL_137,1.0,0.0
AL_191,AL_195,1.0,0.0
AL_107,AL_140,1.0,0.0
AL_256,AL_292,1.0,0.0
AL_107,AL_155,1.0,0.0
AL_107,AL_143,1.0,0.0
AL_107,AL_152,1.0,0.0
AL_200,AL_267,1.0,0.0
AL_107,AL_149,1.0,0.0
AL_107,AL_113,1.0,0.0
AL_107,AL_167,1.0,0.0
AL_107,AL_173,1.0,0.0
AL_107,AL_179,1.0,0.0
AL_179,AL_182,1.0,0.0
AL_200,AL_227,1.0,0.0
AL_107,AL_182,1.0,0.0
AL_107,AL_116,1.0,0.0
AL_107,AL_170,1.0,0.0
AL_110,AL_113,1.0,0.0
AL_110,AL_116,1.0,0.0
AL_107,AL_119,1.0,0.0
AL_110,AL_119,1.0,0.0
AL_200,AL_269,1.0,0.0
AL_256,AL_263,1.0,0.0
AL_107,AL_176,1.0,0.0
AL_191,AL_240,0.9993,0.0
AL_195,AL_240,0.9993,0.0
AL_200,AL_231,0.9993,0.0
AL_204,AL_236,0.9993,0.0
AL_220,AL_269,0.9993,0.0
AL_204,AL_292,0.9993,0.0
AL_200,AL_212,0.9993,0.0
AL_204,AL_272,0.9993,0.0
AL_195,AL_204,0.9993,0.0
AL_204,AL_244,0.9993,0.0
AL_204,AL_276,0.9993,0.0
AL_191,AL_200,0.9993,0.0
AL_204,AL_284,0.9993,0.0
AL_204,AL_248,0.9993,0.0
AL_200,AL_208,0.9993,0.0
AL_195,AL_227,0.9993,0.0
AL_204,AL_256,0.9993,0.0
AL_191,AL_227,0.9993,0.0
AL_204,AL_263,0.9993,0.0
AL_204,AL_280,0.9993,0.0
AL_191,AL_204,0.9993,0.0
AL_197,AL_240,0.9993,0.0
AL_220,AL_267,0.9993,0.0
AL_200,AL_248,0.9993,0.0
AL_200,AL_263,0.9993,0.0
AL_208,AL_240,0.9993,0.0
AL_197,AL_200,0.9993,0.0
AL_197,AL_204,0.9993,0.0
AL_212,AL_267,0.9993,0.0
AL_212,AL_269,0.9993,0.0
AL_200,AL_272,0.9993,0.0
AL_208,AL_227,0.9993,0.0
AL_200,AL_276,0.9993,0.0
AL_197,AL_227,0.9993,0.0
AL_200,AL_280,0.9993,0.0
AL_197,AL_269,0.9993,0.0
AL_197,AL_267,0.9993,0.0
AL_200,AL_284,0.9993,0.0
AL_200,AL_292,0.9993,0.0
AL_200,AL_256,0.9993,0.0
AL_220,AL_227,0.9993,0.0
AL_204,AL_233,0.9993,0.0
AL_200,AL_244,0.9993,0.0
AL_204,AL_231,0.9993,0.0
AL_200,AL_233,0.9993,0.0
AL_200,AL_236,0.9993,0.0
AL_208,AL_269,0.9993,0.0
AL_191,AL_267,0.9993,0.0
AL_204,AL_208,0.9993,0.0
AL_212,AL_227,0.9993,0.0
AL_204,AL_220,0.9993,0.0
AL_208,AL_267,0.9993,0.0
AL_191,AL_269,0.9993,0.0
AL_195,AL_267,0.9993,0.0
AL_195,AL_269,0.9993,0.0
AL_220,AL_240,0.9993,0.0
AL_212,AL_240,0.9993,0.0
AL_204,AL_212,0.9993,0.0
AL_200,AL_220,0.9993,0.0
AL_195,AL_200,0.9993,0.0
AL_236,AL_240,0.9993,0.0
AL_248,AL_267,0.9993,0.0
AL_240,AL_256,0.9993,0.0
AL_231,AL_269,0.9993,0.0
AL_244,AL_269,0.9993,0.0
AL_240,AL_263,0.9993,0.0
AL_227,AL_231,0.9993,0.0
AL_240,AL_272,0.9993,0.0
AL_227,AL_233,0.9993,0.0
AL_240,AL_276,0.9993,0.0
AL_240,AL_280,0.9993,0.0
AL_227,AL_236,0.9993,0.0
AL_227,AL_244,0.9993,0.0
AL_256,AL_269,0.9993,0.0
AL_240,AL_284,0.9993,0.0
AL_240,AL_292,0.9993,0.0
AL_227,AL_248,0.9993,0.0
AL_227,AL_256,0.9993,0.0
AL_256,AL_267,0.9993,0.0
AL_227,AL_263,0.9993,0.0
AL_231,AL_240,0.9993,0.0
AL_227,AL_272,0.9993,0.0
AL_227,AL_276,0.9993,0.0
AL_227,AL_280,0.9993,0.0
AL_227,AL_284,0.9993,0.0
AL_227,AL_292,0.9993,0.0
AL_244,AL_267,0.9993,0.0
AL_240,AL_248,0.9993,0.0
AL_231,AL_267,0.9993,0.0
AL_267,AL_272,0.9993,0.0
AL_236,AL_267,0.9993,0.0
AL_236,AL_269,0.9993,0.0
AL_248,AL_269,0.9993,0.0
AL_267,AL_276,0.9993,0.0
AL_233,AL_269,0.9993,0.0
AL_233,AL_267,0.9993,0.0
AL_267,AL_280,0.9993,0.0
AL_263,AL_269,0.9993,0.0
AL_267,AL_284,0.9993,0.0
AL_267,AL_292,0.9993,0.0
AL_233,AL_240,0.9993,0.0
AL_269,AL_272,0.9993,0.0
AL_269,AL_276,0.9993,0.0
AL_269,AL_280,0.9993,0.0
AL_269,AL_284,0.9993,0.0
AL_240,AL_244,0.9993,0.0
AL_269,AL_292,0.9993,0.0
AL_263,AL_267,0.9993,0.0
AL_28,AL_30,0.9981,0.0
AL_28,AL_34,0.998,0.0
AL_28,AL_36,0.998,0.0
AL_28,AL_38,0.998,0.0
AL_28,AL_32,0.998,0.0
AL_32,AL_38,0.9979,0.0
AL_32,AL_36,0.9979,0.0
AL_34,AL_38,0.9978,0.0
AL_36,AL_38,0.9978,0.0
AL_34,AL_36,0.9978,0.0
AL_30,AL_34,0.9977,0.0
AL_30,AL_36,0.9977,0.0
AL_32,AL_34,0.9977,0.0
AL_30,AL_38,0.9976,0.0
AL_30,AL_32,0.9975,0.0
AL_1,AL_3,0.9975,0.0
AL_1,AL_2,0.9975,0.0
AL_3,AL_5,0.9975,0.0
AL_3,AL_4,0.9974,0.0
AL_2,AL_3,0.9974,0.0
AL_1,AL_4,0.9973,0.0
AL_1,AL_6,0.9972,0.0
AL_5,AL_6,0.9971,0.0
AL_1,AL_5,0.9971,0.0
AL_3,AL_6,0.9971,0.0
AL_4,AL_5,0.9971,0.0
AL_4,AL_6,0.997,0.0
AL_2,AL_5,0.9967,0.0
AL_2,AL_6,0.9967,0.0
AL_2,AL_4,0.9966,0.0
AL_215,AL_216,0.9842,0.0
AL_41,AL_44,0.9809,0.0
AL_44,AL_47,0.9806,0.0
AL_41,AL_47,0.9778,0.0
AL_184,AL_185,0.9728,0.0
AL_44,AL_62,0.9725,0.0
AL_251,AL_252,0.9712,0.0
AL_287,AL_288,0.9711,0.0
AL_41,AL_62,0.9704,0.0
AL_200,AL_275,0.969,0.0
AL_227,AL_275,0.969,0.0
AL_240,AL_275,0.969,0.0
AL_204,AL_275,0.969,0.0
AL_269,AL_275,0.969,0.0
AL_267,AL_275,0.969,0.0
AL_263,AL_271,0.9689,0.0
AL_199,AL_280,0.9689,0.0
AL_190,AL_292,0.9689,0.0
AL_199,AL_284,0.9689,0.0
AL_191,AL_194,0.9689,0.0
AL_191,AL_199,0.9689,0.0
AL_191,AL_230,0.9689,0.0
AL_188,AL_208,0.9689,0.0
AL_203,AL_256,0.9689,0.0
AL_260,AL_272,0.9689,0.0
AL_199,AL_292,0.9689,0.0
AL_188,AL_244,0.9689,0.0
AL_191,AL_226,0.9689,0.0
AL_191,AL_224,0.9689,0.0
AL_260,AL_280,0.9689,0.0
AL_260,AL_276,0.9689,0.0
AL_203,AL_263,0.9689,0.0
AL_262,AL_292,0.9689,0.0
AL_260,AL_263,0.9689,0.0
AL_262,AL_284,0.9689,0.0
AL_191,AL_219,0.9689,0.0
AL_262,AL_280,0.9689,0.0
AL_262,AL_276,0.9689,0.0
AL_191,AL_211,0.9689,0.0
AL_262,AL_272,0.9689,0.0
AL_188,AL_231,0.9689,0.0
AL_262,AL_263,0.9689,0.0
AL_263,AL_266,0.9689,0.0
AL_191,AL_207,0.9689,0.0
AL_188,AL_220,0.9689,0.0
AL_260,AL_292,0.9689,0.0
