panel,veri,rank,feature,importance,in_temiz
KANSER,orijinal,11,EK_3,1.7971566274511064,True
KANSER,orijinal,12,EK_6,1.7407495674790896,True
KANSER,orijinal,13,AL_13,1.4061272654599468,True
KANSER,orijinal,14,CAT_5,1.3474235620043524,True
KANSER,orijinal,15,AL_23,1.2777664689502075,False
KANSER,orijinal,16,AL_186,1.26108194339335,True
KANSER,orijinal,17,AL_327,1.2074297468849369,False
KANSER,orijinal,18,AL_168,1.1915966739080128,True
KANSER,orijinal,19,AL_24,1.123809954730526,False
KANSER,orijinal,20,AL_215,1.1155141169589353,False
KANSER,temizlenmiş,1,EK_7,8.328615435679007,True
KANSER,temizlenmiş,2,EK_9,7.68877867661537,True
KANSER,temizlenmiş,3,BLOSUM62,4.419121422599505,True
KANSER,temizlenmiş,4,AL_186,4.123348468146474,True
KANSER,temizlenmiş,5,EK_5,4.047875949314486,True
KANSER,temizlenmiş,6,EK_2,3.463479466963938,True
KANSER,temizlenmiş,7,EK_4,3.2796831509472604,True
KANSER,temizlenmiş,8,AL_8,2.8910425480016704,True
KANSER,temizlenmiş,9,AL_12,2.6936353043471564,True
KANSER,temizlenmiş,10,AL_168,2.1947292641151463,True
KANSER,temizlenmiş,11,CAT_4,2.1824484580207635,True
KANSER,temizlenmiş,12,EK_3,2.020886563511063,True
KANSER,temizlenmiş,13,AL_21,2.0008993104064077,True
KANSER,temizlenmiş,14,CAT_1,1.9839155692204629,True
KANSER,temizlenmiş,15,CAT_5,1.9567894775925203,True
KANSER,temizlenmiş,16,AL_184,1.8258364652860248,True
KANSER,temizlenmiş,17,AL_9,1.7361046267868878,True
KANSER,temizlenmiş,18,AL_300,1.7122581720633754,True
KANSER,temizlenmiş,19,AL_13,1.5439733114594452,True
KANSER,temizlenmiş,20,CAT_3,1.4397757402261206,True
PAH,orijinal,1,EK_7,8.201374184587573,True
PAH,orijinal,2,AL_306,2.828560674878917,False
PAH,orijinal,3,AL_72,2.682788532177098,True
PAH,orijinal,4,AL_323,2.4625622256189286,False
PAH,orijinal,5,AL_302,2.4602751392220368,False
PAH,orijinal,6,AL_171,2.1507096466912916,True
PAH,orijinal,7,AL_300,1.9674276847678596,True
PAH,orijinal,8,AL_297,1.9158806515520004,True
PAH,orijinal,9,AL_318,1.8815357811858695,True
PAH,orijinal,10,AL_48,1.7699127984384633,True
PAH,orijinal,11,CAT_5,1.7186546790786492,True
PAH,orijinal,12,AL_333,1.619680188549136,True
PAH,orijinal,13,EK_6,1.4014512743907752,True
PAH,orijinal,14,AL_326,1.3519899515599607,True
PAH,orijinal,15,AL_7,1.3366615025287492,True
PAH,orijinal,16,EK_8,1.2945461425983864,True
PAH,orijinal,17,AL_277,1.2098617404832894,True
PAH,orijinal,18,AL_43,1.2018177165988837,False
PAH,orijinal,19,AL_49,1.1793592763772804,False
PAH,orijinal,20,AL_141,1.1674300877082606,True
PAH,temizlenmiş,1,EK_7,11.90857741851629,True
PAH,temizlenmiş,2,AL_72,3.586799015489239,True
PAH,temizlenmiş,3,AL_7,3.3106909233067916,True
PAH,temizlenmiş,4,AL_300,3.0936007450007885,True
PAH,temizlenmiş,5,BLOSUM62,2.8504805732351532,True
PAH,temizlenmiş,6,AL_334,2.310768211202742,True
PAH,temizlenmiş,7,AL_48,2.1318234265263003,True
PAH,temizlenmiş,8,CAT_5,1.8009885008303597,True
PAH,temizlenmiş,9,AL_171,1.7427720367494712,True
PAH,temizlenmiş,10,AL_313,1.740088895230576,True
PAH,temizlenmiş,11,AL_333,1.703526689676936,True
PAH,temizlenmiş,12,AL_330,1.6539269209517566,True
PAH,temizlenmiş,13,AL_66,1.6143760103230655,True
PAH,temizlenmiş,14,SNV_PATHWAY_COUNT,1.612174178370179,True
PAH,temizlenmiş,15,EK_2,1.4471023187642824,True
PAH,temizlenmiş,16,AL_165,1.4341856308053342,True
PAH,temizlenmiş,17,EK_6,1.381764712723799,True
PAH,temizlenmiş,18,AL_314,1.3224446983990483,True
PAH,temizlenmiş,19,CAT_3,1.2338900371852448,True
PAH,temizlenmiş,20,AL_10,1.2303667636592779,True
CFTR,orijinal,1,AL_7,5.647152382740009,True
CFTR,orijinal,2,EK_7,4.761778981970716,True
CFTR,orijinal,3,EK_9,4.569258780634475,True
CFTR,orijinal,4,AL_327,4.2625356610324,False
CFTR,orijinal,5,AL_298,4.0569070175286575,False
CFTR,orijinal,6,AA_1,2.8168210515288177,True
CFTR,orijinal,7,EK_1,2.1687469516103537,True
CFTR,orijinal,8,AL_106,2.1135178751006447,False
CFTR,orijinal,9,AL_302,1.9782587335685438,False
CFTR,orijinal,10,AL_14,1.9189346085492833,True
CFTR,orijinal,11,AL_58,1.7271793001207634,False
CFTR,orijinal,12,AL_76,1.5999069330722688,False
CFTR,orijinal,13,AL_285,1.585255762218297,True
CFTR,orijinal,14,AL_323,1.5424290685840916,False
CFTR,orijinal,15,AL_27,1.536194819668014,True
CFTR,orijinal,16,AL_325,1.3323959058737735,True
CFTR,orijinal,17,AL_8,1.2857735989261967,True
CFTR,orijinal,18,AL_19,1.2685837495192507,False
CFTR,orijinal,19,AL_178,1.204779961144162,False
CFTR,orijinal,20,AL_103,1.2014113482175646,False
CFTR,temizlenmiş,1,EK_9,10.775455296078167,True
CFTR,temizlenmiş,2,AL_7,6.923440792519285,True
CFTR,temizlenmiş,3,AA_1,6.429310630492981,True
CFTR,temizlenmiş,4,SNV_PATHWAY_COUNT,4.117158191563044,True
CFTR,temizlenmiş,5,EK_7,3.5840377735803193,True
CFTR,temizlenmiş,6,AL_304,3.141804964026298,True
CFTR,temizlenmiş,7,AL_33,2.8598964858483247,True
CFTR,temizlenmiş,8,AL_8,2.846550999286146,True
CFTR,temizlenmiş,9,EK_2,2.5684343976073882,True
CFTR,temizlenmiş,10,AL_151,2.024889409563666,True
CFTR,temizlenmiş,11,EK_4,1.9301763580764384,True
CFTR,temizlenmiş,12,AL_14,1.4964978235037378,True
CFTR,temizlenmiş,13,EK_1,1.3985578024025318,True
CFTR,temizlenmiş,14,AL_264,1.3411483012437144,True
CFTR,temizlenmiş,15,AL_234,1.337691054076248,True
CFTR,temizlenmiş,16,AL_60,1.3255923182880291,True
CFTR,temizlenmiş,17,AL_177,1.2920328107270858,True
CFTR,temizlenmiş,18,AL_9,1.2522130169400494,True
CFTR,temizlenmiş,19,EK_6,1.237196177150524,True
CFTR,temizlenmiş,20,CAT_2,1.1532934298922553,True
