ozellik_1,ozellik_2,korelasyon
AL_5,AL_112,0.9824632088666757
AL_4,AL_224,0.9824110912890304
AL_5,AL_103,0.9823935197400063
AL_4,AL_323,0.9822568630825859
AL_5,AL_82,0.9822543615182453
AL_4,AL_160,0.9821067093404815
AL_28,AL_160,0.982000605057603
AL_36,AL_160,0.9819962475907809
AL_5,AL_13,0.9819756866668504
AL_24,AL_36,0.9819594408759434
AL_28,AL_118,0.9818815869142516
AL_28,AL_219,0.981769415525666
AL_5,AL_211,0.9817329335363855
AL_4,AL_172,0.9817036120351987
AL_4,AL_88,0.9816566585736836
AL_5,AL_224,0.9816027941458618
AL_36,AL_151,0.9815856054398301
AL_1,AL_28,0.9815087593171912
AL_11,AL_28,0.9813777220244085
AL_28,AL_323,0.981316040924374
AL_32,AL_82,0.9812173190595344
AL_5,AL_323,0.9811305653308736
AL_36,AL_319,0.9811114360828213
AL_36,AL_178,0.9810994585605565
AL_28,AL_36,0.981089510028167
AL_36,AL_279,0.981069433471079
AL_3,AL_235,0.9810623290916947
AL_13,AL_36,0.9808355565237928
AL_4,AL_145,0.9807639772812876
AL_36,AL_109,0.9807259383656627
AL_16,AL_211,0.9807158489762388
AL_28,AL_319,0.9806242133897635
AL_4,AL_23,0.9806075580124742
AL_36,AL_166,0.9805738379908313
AL_19,AL_28,0.9805418959468074
AL_5,AL_22,0.980537923265209
AL_34,AL_97,0.9804635354625788
AL_5,AL_178,0.9803471976324187
AL_36,AL_118,0.9803464121302089
AL_28,AL_32,0.9801446618114645
AL_5,AL_79,0.9801161158053707
AL_4,AL_64,0.9800641602213326
AL_5,AL_163,0.9800190343889986
AL_28,AL_103,0.9799641000767064
AL_26,AL_28,0.9799583991153679
AL_36,AL_82,0.979902224193881
AL_36,AL_112,0.9798827703094369
AL_1,AL_311,0.9797979834136449
AL_36,AL_283,0.9797480873557365
AL_5,AL_24,0.9797027702102841
AL_32,AL_91,0.9794786284011222
AL_5,AL_266,0.9794444502481822
AL_28,AL_224,0.9794072930683617
AL_28,AL_266,0.9791507788945281
AL_28,AL_311,0.9791332582160132
AL_5,AL_55,0.9790108479214931
AL_36,AL_79,0.9790060546713673
AL_36,AL_172,0.9789377833646885
AL_36,AL_224,0.9788403485537633
AL_5,AL_14,0.9787383978120223
AL_3,AL_97,0.978612132421643
AL_1,AL_88,0.9785681132356309
AL_32,AL_163,0.9785137695087904
AL_4,AL_178,0.978472189664903
AL_4,AL_133,0.978411323821974
AL_4,AL_166,0.978272973337198
AL_36,AL_323,0.9780962971856827
AL_3,AL_13,0.9780947871423002
AL_5,AL_311,0.9780884126176215
AL_28,AL_97,0.9779766592573268
AL_5,AL_199,0.9779681837516415
AL_28,AL_91,0.9779476472367417
AL_5,AL_247,0.9779237565511553
AL_1,AL_235,0.9777849492064348
AL_36,AL_194,0.9777187429584876
AL_4,AL_19,0.9775844161191912
AL_36,AL_103,0.9775470265084351
AL_4,AL_22,0.9774628029811792
AL_32,AL_64,0.9774470594784984
AL_28,AL_211,0.9774376166696986
AL_4,AL_215,0.9774248279376501
AL_4,AL_275,0.977414861831659
AL_28,AL_178,0.9773532166798669
AL_28,AL_55,0.9773461916052374
AL_36,AL_61,0.9772067723866307
AL_13,AL_28,0.9771601423171216
AL_4,AL_7,0.977150863684394
AL_36,AL_163,0.9771253596631075
AL_32,AL_235,0.9770175043379269
AL_5,AL_219,0.9770133012227084
AL_4,AL_91,0.976984111962116
AL_4,AL_97,0.9769466497144683
AL_28,AL_112,0.9769182620618412
AL_4,AL_49,0.9769016669825095
AL_11,AL_36,0.9768839457482758
AL_4,AL_103,0.9768836404789579
AL_28,AL_79,0.9768525939778824
AL_28,AL_243,0.9768399386499376
AL_5,AL_130,0.9767857824498146
AL_1,AL_5,0.9767705268682476
AL_32,AL_145,0.9767437349023245
AL_7,AL_28,0.9767234506530481
AL_5,AL_151,0.9767203535413196
AL_1,AL_16,0.9765962927119582
AL_1,AL_118,0.9765851321349017
AL_32,AL_251,0.976571241981468
AL_1,AL_55,0.9765038185702942
AL_5,AL_20,0.9764724185867238
AL_4,AL_283,0.9764322812180173
AL_28,AL_70,0.9764178278797834
AL_28,AL_279,0.9763896591552804
AL_5,AL_327,0.9763823637470485
AL_22,AL_36,0.9763796138584538
AL_4,AL_109,0.9763686821688323
AL_3,AL_266,0.9763552604842338
AL_4,AL_55,0.9763191443132814
AL_36,AL_311,0.9763183359954772
AL_28,AL_283,0.9762714972423373
AL_5,AL_9,0.9762679914646477
AL_36,AL_130,0.9762669279197048
AL_11,AL_32,0.976233277194717
AL_36,AL_199,0.9761838691497534
AL_28,AL_207,0.9761764712165465
AL_5,AL_127,0.9761733673218929
AL_4,AL_112,0.9761629165379597
AL_4,AL_32,0.976123107444173
AL_34,AL_235,0.9761169440735972
AL_1,AL_4,0.9760714323998082
AL_4,AL_266,0.9759923701050399
AL_20,AL_36,0.9757036268405929
AL_32,AL_88,0.9756865315611492
AL_5,AL_19,0.9756590916776139
AL_5,AL_97,0.975599354167789
AL_16,AL_32,0.9755849359814238
AL_5,AL_121,0.9755779605730049
AL_5,AL_11,0.9755537123323321
AL_4,AL_70,0.9755482269507866
AL_1,AL_64,0.9755070063058064
AL_36,AL_55,0.9754912902423164
AL_28,AL_275,0.9754522944283727
AL_4,AL_61,0.975426570820887
AL_14,AL_36,0.9754164833338232
AL_1,AL_145,0.97537430071704
AL_23,AL_32,0.9753574884772792
AL_36,AL_247,0.9752502235385168
AL_4,AL_139,0.9752408004627406
AL_5,AL_139,0.9751343168553624
AL_5,AL_32,0.9751034852047791
AL_4,AL_251,0.9750844199353115
AL_5,AL_61,0.9749398636026505
AL_3,AL_11,0.9748972651296974
AL_5,AL_91,0.9748637602773458
AL_14,AL_28,0.9748424766496779
AL_4,AL_279,0.9748336743389868
AL_1,AL_215,0.9747740636938521
AL_36,AL_49,0.9747614367448091
AL_1,AL_23,0.9746871964862222
AL_32,AL_55,0.9745563365976695
AL_1,AL_24,0.9745400041016742
AL_4,AL_194,0.9745339772516511
AL_5,AL_215,0.9744776354864253
AL_1,AL_251,0.974399066782121
AL_28,AL_203,0.9743492671034027
AL_1,AL_163,0.9743311585105594
AL_4,AL_211,0.9743007479819357
AL_4,AL_199,0.9742686534133531
AL_1,AL_172,0.9740970293252202
AL_3,AL_4,0.9740853382133071
AL_32,AL_133,0.9740329207990268
AL_4,AL_169,0.9740118862852829
AL_28,AL_139,0.9740105259977997
AL_3,AL_121,0.9738820540289506
AL_36,AL_203,0.9738566535808956
AL_1,AL_178,0.9737965089764659
AL_3,AL_163,0.9737919121644493
AL_3,AL_88,0.9737786698682924
AL_5,AL_188,0.9737003654868606
AL_3,AL_28,0.9736864140881898
AL_36,AL_260,0.9736678161937056
AL_1,AL_82,0.9736393241968303
AL_36,AL_73,0.9736362059995396
AL_5,AL_73,0.9735694987150052
AL_1,AL_160,0.9735208939093938
AL_4,AL_24,0.9734998423783323
AL_1,AL_26,0.9734918030504907
AL_3,AL_20,0.9734197681491813
AL_4,AL_52,0.9733739920836444
AL_1,AL_22,0.9733565168461615
AL_4,AL_287,0.9732622949246574
AL_1,AL_323,0.9732107345593619
AL_36,AL_266,0.9732012864739663
AL_28,AL_184,0.973098472084716
AL_28,AL_130,0.9730941850007625
AL_32,AL_118,0.9730930004373081
AL_28,AL_49,0.973031291408819
AL_3,AL_283,0.9729671761681498
AL_28,AL_151,0.9729661849162732
AL_4,AL_79,0.9729476120707176
AL_3,AL_7,0.972930261460059
AL_34,AL_215,0.9729240396322305
AL_1,AL_327,0.9728910628646913
AL_4,AL_73,0.9727193670926214
AL_4,AL_151,0.9726321773241932
AL_1,AL_219,0.9726120757644587
AL_5,AL_275,0.9726108338987551
AL_4,AL_230,0.972606605421029
AL_28,AL_58,0.9725238560684791
AL_5,AL_115,0.9725041885256257
AL_5,AL_194,0.9724862170553564
AL_3,AL_36,0.9724408238014134
AL_4,AL_13,0.9724114511173834
AL_16,AL_133,0.9723654622805195
AL_1,AL_133,0.9723532925317311
AL_28,AL_127,0.9722880725427581
AL_3,AL_64,0.972276344409379
AL_4,AL_311,0.9722444173710424
AL_28,AL_166,0.9722211919591818
AL_5,AL_306,0.9721626916556194
AL_28,AL_61,0.9721392109657571
AL_28,AL_199,0.9721380415209006
AL_32,AL_215,0.9720617315766713
AL_36,AL_219,0.9719929899260585
AL_1,AL_283,0.9719834334074967
AL_19,AL_32,0.9719709563026657
AL_215,AL_251,0.9719058878307292
AL_3,AL_16,0.9718118971630276
AL_1,AL_275,0.971748457406525
AL_5,AL_207,0.971721775745442
AL_3,AL_145,0.9716752933755473
AL_32,AL_283,0.9716368908750141
AL_3,AL_188,0.9715949713665558
AL_4,AL_127,0.97158309682901
AL_32,AL_160,0.9715646469917643
AL_36,AL_58,0.9715364613589726
AL_5,AL_58,0.9714220690810973
AL_3,AL_118,0.9714199009867143
AL_3,AL_172,0.9713601165166682
AL_3,AL_23,0.9713532905946014
AL_28,AL_34,0.9713206602220481
AL_5,AL_251,0.9712680235175157
AL_5,AL_260,0.9712402774604146
AL_3,AL_34,0.9711585577979194
AL_4,AL_207,0.9710122265543939
AL_4,AL_306,0.9710072994456982
AL_13,AL_211,0.9709190968741908
AL_22,AL_32,0.9708895682324028
AL_3,AL_160,0.9708590692137283
AL_32,AL_323,0.9708364796972438
AL_13,AL_16,0.9708202798933804
AL_3,AL_5,0.9707451963737347
AL_1,AL_36,0.9707447126073989
AL_22,AL_82,0.9707259345012944
AL_3,AL_82,0.9707104906239704
AL_32,AL_219,0.9707041568852813
AL_1,AL_13,0.9706840000421632
AL_1,AL_287,0.9706800439623139
AL_20,AL_28,0.9706088047708787
AL_36,AL_188,0.9705395301584441
AL_1,AL_112,0.9703803355469811
AL_28,AL_306,0.9703350201678284
AL_4,AL_121,0.9703004724906062
AL_4,AL_26,0.970299276945305
AL_28,AL_186,0.9702388754550503
AL_1,AL_11,0.9702169849695124
AL_3,AL_211,0.9702120226930104
AL_5,AL_184,0.9701301924843864
AL_4,AL_291,0.9701203794761746
AL_28,AL_94,0.9700908597184978
AL_3,AL_219,0.9700486282189862
AL_4,AL_20,0.9700376793227178
AL_32,AL_327,0.9700040097981999
AL_4,AL_25,0.9698573425286648
AL_1,AL_224,0.9698198763350953
AL_5,AL_70,0.9698180059576054
AL_1,AL_61,0.9698136769911978
AL_36,AL_127,0.9698016819334832
AL_36,AL_184,0.9697699646589653
AL_3,AL_103,0.9697578200912902
AL_36,AL_275,0.9697419167653714
AL_28,AL_194,0.9697019901124028
AL_9,AL_28,0.9696703476623086
AL_5,AL_18,0.9695753644687225
AL_36,AL_115,0.9695284332639743
AL_32,AL_178,0.9694654639516178
AL_1,AL_32,0.9694507758057646
AL_28,AL_247,0.9694376475780808
AL_4,AL_9,0.969418642616357
AL_5,AL_34,0.9694130978198754
AL_4,AL_14,0.9694045321927658
AL_32,AL_97,0.9693712975600259
AL_3,AL_133,0.969363335641251
AL_19,AL_36,0.9693477614738312
AL_19,AL_38,0.9693286468752577
AL_28,AL_260,0.9692180595991012
AL_16,AL_61,0.969187469494298
AL_36,AL_327,0.9691452483753447
AL_28,AL_121,0.9690792140272035
AL_1,AL_7,0.9690343021252047
AL_211,AL_319,0.9688986079826394
AL_32,AL_247,0.9688624098148737
AL_3,AL_22,0.968860751536499
AL_1,AL_91,0.9688350426213013
AL_16,AL_247,0.9688336856679463
AL_28,AL_188,0.9688284675714921
AL_36,AL_139,0.9687435115554989
AL_4,AL_243,0.9687320843104754
AL_36,AL_243,0.9687153675589071
AL_34,AL_188,0.9686891109262139
AL_32,AL_224,0.9686717655224897
AL_32,AL_139,0.9686717644633696
AL_26,AL_215,0.968652535569038
AL_12,AL_28,0.968565663697114
AL_36,AL_70,0.9685598851276571
AL_25,AL_28,0.9684291064601971
AL_5,AL_203,0.968369292278734
AL_3,AL_52,0.9682932357339348
AL_38,AL_251,0.9682871481399722
AL_34,AL_88,0.9682841453233761
AL_16,AL_283,0.9682532572980802
AL_1,AL_151,0.9682061572559151
AL_6,AL_97,0.9680987029345054
AL_1,AL_139,0.9680896885680148
AL_28,AL_271,0.968076371872915
AL_5,AL_166,0.9680537048263437
AL_6,AL_11,0.967997757710117
AL_34,AL_239,0.9679972631387247
AL_5,AL_154,0.9679147516328369
AL_28,AL_73,0.9679085643442911
AL_36,AL_215,0.9678671838029406
AL_1,AL_211,0.9677810200087656
AL_14,AL_32,0.9677106157022171
AL_4,AL_260,0.9676959525171981
AL_9,AL_36,0.9676757231238909
AL_16,AL_82,0.967646258411226
AL_3,AL_215,0.9675791718230785
AL_32,AL_109,0.9675607186752802
AL_4,AL_130,0.9674906430464285
AL_4,AL_154,0.9674727845732553
AL_3,AL_178,0.9674616729968126
AL_3,AL_224,0.9673151301343884
AL_5,AL_49,0.9673019041097554
AL_18,AL_28,0.9672788400541431
AL_1,AL_19,0.9672760873066174
AL_28,AL_115,0.9672566203568949
AL_12,AL_32,0.9672231027365352
AL_3,AL_323,0.9672188496332143
AL_5,AL_106,0.9671947941523454
AL_32,AL_73,0.9671820032404082
AL_5,AL_12,0.9671279401962153
AL_36,AL_91,0.9671253981410809
AL_88,AL_211,0.9670907361382222
AL_24,AL_32,0.967047458903129
AL_7,AL_32,0.9670284591285858
AL_3,AL_194,0.9669177695835574
AL_1,AL_79,0.9668854794194492
AL_32,AL_296,0.9668619142714721
AL_32,AL_311,0.9668405413837776
AL_32,AL_151,0.9667513574658801
AL_28,AL_181,0.9666849032023339
AL_3,AL_151,0.9666577642994608
AL_26,AL_32,0.9666556045226218
AL_4,AL_115,0.96662002612194
AL_1,AL_279,0.9666151832117881
AL_32,AL_36,0.9665630458252379
AL_1,AL_319,0.9665400703594563
AL_28,AL_169,0.9664983852607782
AL_1,AL_97,0.9664967903050122
AL_5,AL_230,0.966474075493698
AL_32,AL_169,0.9664192615435823
AL_1,AL_194,0.9663357020711574
AL_5,AL_148,0.9662727447919679
AL_13,AL_32,0.9662367014154574
AL_4,AL_184,0.9662008602823724
AL_36,AL_148,0.9661260437430894
AL_34,AL_323,0.9660900291047814
AL_28,AL_230,0.9660337296164574
AL_32,AL_49,0.9659208358287397
AL_7,AL_34,0.9658895439594493
AL_5,AL_287,0.9658035083992399
AL_88,AL_215,0.965769854879579
AL_3,AL_73,0.9657357724395237
AL_1,AL_199,0.9656812361704569
AL_3,AL_251,0.9656720684713344
AL_32,AL_79,0.9656598590867617
AL_28,AL_52,0.9656313920693391
AL_32,AL_112,0.9656107291173559
AL_32,AL_287,0.9655743532332774
AL_1,AL_106,0.965558526037079
AL_16,AL_151,0.9655406557544763
AL_1,AL_103,0.9655400103930972
AL_4,AL_247,0.9653744326605738
AL_3,AL_61,0.9653711811584136
AL_28,AL_291,0.9653646350767688
AL_36,AL_97,0.9653378041078995
AL_4,AL_188,0.9652797457625149
AL_18,AL_36,0.9651283813186152
AL_5,AL_296,0.9651258725615676
AL_16,AL_215,0.9650738287139222
AL_1,AL_73,0.9650349241320608
AL_38,AL_306,0.9650188711471919
AL_3,AL_112,0.9649745417663482
AL_12,AL_36,0.9648515973964205
AL_36,AL_207,0.9648485509527797
AL_3,AL_55,0.964779867400518
AL_14,AL_16,0.9647687071978935
AL_4,AL_18,0.9647389145669687
AL_38,AL_163,0.9647250980656052
AL_1,AL_49,0.9647174791028105
AL_36,AL_287,0.9646986929524219
AL_6,AL_291,0.9646941848286418
AL_3,AL_184,0.9646938433729749
AL_7,AL_16,0.9646937440529259
AL_3,AL_15,0.9646882134792916
AL_3,AL_79,0.9646190190054938
AL_3,AL_109,0.9644960867340003
AL_32,AL_211,0.96446505665781
AL_32,AL_275,0.9644636888908144
AL_1,AL_3,0.9643852739608572
AL_16,AL_130,0.964361221835921
AL_10,AL_36,0.9643611630042447
AL_32,AL_279,0.9642611342521791
AL_20,AL_211,0.9642466237169102
AL_3,AL_311,0.9642154611735055
AL_3,AL_319,0.9641829491800047
AL_24,AL_82,0.9641648782480625
AL_3,AL_287,0.9641320445223572
AL_28,AL_296,0.9641188110550283
AL_3,AL_19,0.9640792649738633
AL_4,AL_12,0.9639610561859382
AL_3,AL_327,0.9639164732404925
AL_32,AL_58,0.9639114029547589
AL_38,AL_219,0.9638276451723882
AL_82,AL_224,0.9637956200915017
AL_3,AL_9,0.9637403680939499
AL_34,AL_79,0.9637370935850222
AL_16,AL_145,0.9635430594387105
AL_6,AL_266,0.963514115321133
AL_4,AL_58,0.9634919411414622
AL_28,AL_239,0.9634727575602038
AL_3,AL_148,0.963467480456078
AL_3,AL_25,0.9634432137467238
AL_28,AL_148,0.9634092571109728
AL_3,AL_91,0.9633555957237159
AL_160,AL_215,0.9633176899760754
AL_4,AL_239,0.9632763562879696
AL_36,AL_306,0.9632739794585365
AL_32,AL_266,0.9632503461980207
AL_34,AL_103,0.9632223131767853
AL_6,AL_219,0.963200226462997
AL_3,AL_26,0.9631689637368563
AL_13,AL_34,0.963146169956791
AL_94,AL_215,0.9631422228452641
AL_5,AL_169,0.9630938394770734
AL_20,AL_145,0.963086651529907
AL_6,AL_163,0.9630860604091656
AL_1,AL_184,0.9630770225365746
AL_1,AL_127,0.963058237383078
AL_34,AL_172,0.9630565328740737
AL_1,AL_58,0.9630440573497512
AL_16,AL_23,0.9630348084193768
AL_16,AL_319,0.9629365493176659
AL_36,AL_251,0.9628972558281994
AL_4,AL_34,0.9628840889261643
AL_6,AL_28,0.9628633344551557
AL_32,AL_319,0.9628510745644544
AL_21,AL_28,0.9627901522986396
AL_34,AL_91,0.9627702167891878
AL_25,AL_32,0.9627620592620698
AL_3,AL_115,0.9627145498303671
AL_38,AL_97,0.9627070807847338
AL_34,AL_64,0.9627037170237311
AL_24,AL_211,0.9626518013420411
AL_88,AL_251,0.9626053746812808
AL_16,AL_194,0.9625873312653636
AL_36,AL_296,0.9625217224157315
AL_36,AL_154,0.9624607598004505
AL_32,AL_199,0.9624476479072978
AL_3,AL_130,0.9624018173736086
AL_34,AL_163,0.9623769525397236
AL_88,AL_224,0.9623754547208134
AL_34,AL_145,0.9623361576676781
AL_36,AL_239,0.9623085058780679
AL_1,AL_271,0.9622957241567907
AL_3,AL_32,0.962269832042759
AL_6,AL_19,0.962200955384361
AL_28,AL_154,0.962200496299459
AL_1,AL_20,0.9621860204091894
AL_5,AL_271,0.9621828902248365
AL_9,AL_32,0.9621660041443358
AL_1,AL_121,0.9621111292663189
AL_1,AL_266,0.9620821658023487
AL_23,AL_133,0.9620774014540061
AL_215,AL_287,0.962072582234103
AL_16,AL_172,0.9620436247074966
AL_16,AL_112,0.9620393962974434
AL_5,AL_239,0.9619557424160851
AL_32,AL_70,0.9619095390765043
AL_36,AL_230,0.9618823322453014
AL_16,AL_103,0.9618802187524738
AL_1,AL_291,0.961856448357541
AL_34,AL_251,0.9618283929409934
AL_34,AL_160,0.9618172586725442
AL_16,AL_311,0.9617985579784434
AL_20,AL_32,0.9617911183463997
AL_32,AL_103,0.961708372217679
AL_24,AL_34,0.9616846380698205
AL_32,AL_130,0.9616395211401051
AL_16,AL_251,0.9616252915392752
AL_16,AL_148,0.9615180895975227
AL_82,AL_211,0.9615059325472018
AL_1,AL_154,0.9614664708854785
AL_32,AL_194,0.9614331343304817
AL_36,AL_52,0.9614250569067638
AL_34,AL_266,0.9613724277791724
AL_4,AL_106,0.961340750258119
AL_34,AL_283,0.9613402907262578
AL_23,AL_34,0.9613174666435284
AL_32,AL_34,0.96129527113734
AL_22,AL_211,0.9612862420891974
AL_36,AL_106,0.9612494678419217
AL_3,AL_14,0.9612485751046552
AL_28,AL_106,0.961142329651965
AL_4,AL_271,0.9610831190552085
AL_32,AL_243,0.9610523076474424
AL_1,AL_14,0.9610411642695543
AL_16,AL_64,0.9610358409427303
AL_3,AL_49,0.9610286287308152
AL_32,AL_127,0.9609481071865967
AL_3,AL_279,0.9608975861516511
AL_34,AL_287,0.9608715353533953
AL_36,AL_291,0.9608590778473403
AL_7,AL_283,0.9608528830745282
AL_26,AL_251,0.9607659480793418
AL_88,AL_194,0.960758714578406
AL_28,AL_142,0.9607528302750812
AL_14,AL_211,0.9606948814321351
AL_1,AL_186,0.9606523390807955
AL_25,AL_34,0.960624503461722
AL_3,AL_166,0.9606200398878928
AL_13,AL_283,0.9606181967567721
AL_5,AL_52,0.9605516036994769
AL_215,AL_327,0.9605157271459005
AL_16,AL_243,0.9604938581763326
AL_3,AL_271,0.9604031476884446
AL_4,AL_148,0.9603993116611929
AL_25,AL_36,0.960375195839612
AL_16,AL_235,0.9603538329767316
AL_1,AL_70,0.960302544570458
AL_3,AL_139,0.9602768110837452
AL_186,AL_215,0.9602464134493011
AL_94,AL_251,0.9602458446000095
AL_11,AL_34,0.9602322587116744
AL_1,AL_203,0.9602163005442612
AL_26,AL_36,0.9602145136413718
AL_34,AL_70,0.9601841200201122
AL_19,AL_82,0.9601721551966133
AL_1,AL_94,0.9601116441558408
AL_16,AL_109,0.9601116343919747
AL_16,AL_22,0.9601054395538793
AL_32,AL_306,0.960031600305478
AL_88,AL_188,0.9600111392201347
AL_130,AL_211,0.9599876190232558
AL_34,AL_219,0.959976305260624
AL_16,AL_291,0.9599688155267525
AL_34,AL_184,0.9599300536172116
AL_1,AL_181,0.9599169883475481
AL_32,AL_166,0.9598858906159417
AL_4,AL_142,0.959839070708708
AL_32,AL_291,0.9597686446602418
AL_3,AL_199,0.9597625774921843
AL_32,AL_148,0.9597491014758777
AL_16,AL_58,0.9597341065149851
AL_1,AL_188,0.9597205106753388
AL_6,AL_235,0.9596977339564485
AL_133,AL_211,0.9595489747107298
AL_5,AL_291,0.9595204538741784
AL_6,AL_70,0.9594905635963781
AL_5,AL_142,0.9594385434296301
AL_19,AL_34,0.9594156724288314
AL_1,AL_260,0.9594153814153995
AL_61,AL_211,0.9594000520372005
AL_16,AL_327,0.9593087581087972
AL_4,AL_186,0.9592428384404466
AL_19,AL_224,0.9592286610569345
AL_16,AL_115,0.9592168325708627
AL_3,AL_58,0.959154539314669
AL_34,AL_109,0.9591503049293919
AL_32,AL_203,0.9591434559963191
AL_5,AL_10,0.9591425671535059
AL_16,AL_230,0.959108176366025
AL_14,AL_34,0.9590927978891483
AL_34,AL_118,0.9590451589015102
AL_73,AL_283,0.9590264393697199
AL_4,AL_255,0.9589856079512113
AL_3,AL_291,0.9589605460083277
AL_1,AL_25,0.958890357482531
AL_3,AL_260,0.9588321797191008
AL_9,AL_34,0.9588165904792485
AL_32,AL_61,0.9588067337407529
AL_5,AL_26,0.9587913220729749
AL_1,AL_9,0.9587767776568599
AL_16,AL_88,0.9587602601997048
AL_16,AL_24,0.9587347104170655
AL_32,AL_142,0.9586808036129485
AL_16,AL_207,0.9586270178109895
AL_16,AL_34,0.9585993970126646
AL_32,AL_184,0.9585592026528843
AL_16,AL_121,0.9584669036862643
AL_88,AL_283,0.958448148247938
AL_3,AL_70,0.9584421217059135
AL_211,AL_283,0.958424831809174
AL_58,AL_211,0.9583785711188242
AL_243,AL_319,0.9583439205422085
AL_9,AL_16,0.9583263298783792
AL_34,AL_121,0.9582929436993257
AL_38,AL_85,0.9582798114391119
AL_3,AL_275,0.9582341951331542
AL_1,AL_12,0.9580083948546896
AL_19,AL_251,0.9578311484616862
AL_103,AL_211,0.9577297913311664
AL_5,AL_25,0.9577108182643248
AL_38,AL_55,0.9577058537526209
AL_16,AL_203,0.9577011821063984
AL_3,AL_154,0.9576951170544581
AL_36,AL_142,0.9576509295197989
AL_1,AL_52,0.9575709810287008
AL_32,AL_302,0.9575647481805025
AL_14,AL_283,0.9575000377646349
AL_24,AL_61,0.9574693094472283
AL_3,AL_127,0.9574125949655058
AL_1,AL_247,0.957345402770068
AL_17,AL_30,0.957323525978299
AL_16,AL_160,0.9573223270114583
AL_1,AL_306,0.9573026044756674
AL_16,AL_224,0.9571827181466981
AL_4,AL_296,0.957168325772845
AL_32,AL_181,0.9571196335126119
AL_15,AL_34,0.9570760146647719
AL_32,AL_121,0.9570752352015269
AL_3,AL_247,0.9570683674406639
AL_1,AL_115,0.9570548291794665
AL_32,AL_52,0.9569621685960493
AL_38,AL_178,0.9569164754432172
AL_19,AL_211,0.9567478957666352
AL_61,AL_215,0.9567312680763246
AL_32,AL_239,0.9567002569678783
AL_23,AL_243,0.9566503631628049
AL_160,AL_211,0.956589418449916
AL_11,AL_38,0.9565425742545111
AL_16,AL_178,0.9565047223240634
AL_1,AL_243,0.9564755857592812
AL_19,AL_291,0.9564071912266838
AL_3,AL_306,0.9563653985770669
AL_58,AL_215,0.9562728972137873
AL_1,AL_207,0.9562363569690411
AL_215,AL_224,0.9561640018809595
AL_3,AL_207,0.9560680324529108
AL_4,AL_94,0.9560630817272128
AL_58,AL_283,0.956059973377928
AL_34,AL_133,0.9560135586293032
AL_16,AL_73,0.9559988327802628
AL_38,AL_145,0.9559957741567984
AL_6,AL_275,0.9559416570797775
AL_115,AL_211,0.9558552611951826
AL_1,AL_67,0.9558114132922038
AL_38,AL_235,0.9557950463809756
AL_4,AL_6,0.9557272873311748
AL_6,AL_166,0.9556906400173141
AL_18,AL_211,0.9556500646925086
AL_3,AL_21,0.9555278384586667
AL_1,AL_166,0.9555159815967567
AL_13,AL_22,0.9554990423918027
AL_1,AL_148,0.9554954576180156
AL_6,AL_169,0.9554597063376676
AL_181,AL_215,0.955451103100151
AL_13,AL_24,0.9554295214016628
AL_3,AL_203,0.9554280607127262
